GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:07:51 GMT 2018

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	setpointT	setpointS	slatAng
118	125	1	2.184264389994566E10	1.5436748885112503E10	3.1262048608653097E9	3.279690153967846E9	9.647968053195314E9	2.842004418968463E9	9.938455012023776E8	4.3	1.9	18.0	480.0	35.0	Generation 8.
119	126	1	2.2618015620192696E10	1.5297758679685081E10	4.048932824007449E9	3.2713241165001645E9	9.561099174803175E9	3.6808480218249536E9	9.913103383333832E8	4.7	1.7	22.0	560.0	40.0	Generation 8.
120	127	1	2.285122374911017E10	1.6868396035042328E10	2.459411004597144E9	3.523416709470694E9	1.0542747521901455E10	2.2358281859974036E9	1.0677020331729376E9	5.2	1.2	22.0	620.0	45.0	Generation 8.
121	128	1	2.2215331981709736E10	1.5481634014165577E10	3.384107890032104E9	3.3495900775120554E9	9.676021258853485E9	3.0764617182110033E9	1.0150272962157744E9	4.9	1.6	20.5	520.0	35.0	Generation 8.
122	129	1	2.1609440998155106E10	1.5955003953822792E10	2.18606199485332E9	3.468375049478991E9	9.971877471139244E9	1.9873290862302907E9	1.051022742266361E9	4.4	1.7	18.5	440.0	30.0	Generation 9.
123	130	1	2.2090616656415028E10	1.6486940959592499E10	2.2082005553903966E9	3.395475141432133E9	1.0304338099745312E10	2.0074550503549058E9	1.0289318610400404E9	4.6	1.5	17.5	520.0	50.0	Generation 9.
124	131	1	2.241323220028973E10	1.6749552834176105E10	2.264076424718258E9	3.3996029413953676E9	1.0468470521360065E10	2.0582512951984162E9	1.0301827095137478E9	4.7	1.4	17.0	580.0	65.0	Generation 9.
125	132	1	2.2235542234554916E10	1.6328530873614658E10	2.4348893268527217E9	3.4721220340875373E9	1.0205331796009161E10	2.2135357516842923E9	1.0521581921477386E9	4.9	1.4	20.0	540.0	35.0	Generation 9.
126	133	1	2.1685427647597404E10	1.6021111166700575E10	2.2578459078116956E9	3.4064705730851307E9	1.0013194479187859E10	2.052587188919723E9	1.0322638100257972E9	4.2	1.9	16.0	440.0	30.0	Generation 9.
127	134	1	2.1990534374044468E10	1.73338125544313E10	1.0743736306597047E9	3.5823481889534593E9	1.0833632846519564E10	9.767033005997314E8	1.085560057258624E9	3.6	1.8	16.5	400.0	35.0	Generation 9.
128	135	1	2.3089167014542007E10	1.8280827454270588E10	1.3622025757984004E9	3.4461369844730167E9	1.1425517158919117E10	1.2383659779985456E9	1.0442839346887931E9	3.7	1.6	14.5	480.0	55.0	Generation 9.
129	136	1	2.2257214834427017E10	1.6827387833009184E10	2.0200062582587345E9	3.4098207431591E9	1.051711739563074E10	1.8363693256897585E9	1.0332790130785152E9	3.9	1.9	14.5	480.0	30.0	Generation 9.
129	137	1	2.168448111631615E10	1.551326637037977E10	2.849198660727633E9	3.322016085208747E9	9.695791481487356E9	2.5901806006614842E9	1.0066715409723476E9	4.1	2.0	17.5	460.0	30.0	Generation 9.
130	138	1	2.153673670350826E10	1.6043324447396875E10	2.1037425262505255E9	3.3896697298608575E9	1.0027077779623047E10	1.9124932056822958E9	1.0271726454123812E9	3.8	2.0	17.0	440.0	30.0	Generation 9.
131	139	1	2.2264472900051052E10	1.7477416339002872E10	1.272509589779697E9	3.5145469712684827E9	1.0923385211876795E10	1.1568268997997243E9	1.065014233717722E9	3.5	1.8	16.5	440.0	35.0	Generation 9.
132	140	1	2.1803153552007378E10	1.5818582823896454E10	2.662803231500452E9	3.321767496610472E9	9.886614264935284E9	2.420730210454956E9	1.0065962110940825E9	4.0	2.0	16.5	480.0	30.0	Generation 9.
133	141	1	2.1638790600995712E10	1.576600207859304E10	2.5206091420643563E9	3.3521793803383145E9	9.85375129912065E9	2.291462856422142E9	1.015811933435853E9	4.3	1.8	18.0	460.0	35.0	Generation 9.
134	142	1	2.1893851307328903E10	1.5722778526405067E10	2.8518666624947E9	3.319206118429134E9	9.826736579003166E9	2.5926060568133636E9	1.0058200358876164E9	4.2	1.8	19.5	500.0	35.0	Generation 9.
135	143	1	2.250060415669893E10	1.5988550648394798E10	3.105557436473167E9	3.4064960718309627E9	9.992844155246748E9	2.8232340331574244E9	1.0322715369184736E9	5.1	1.4	21.5	580.0	40.0	Generation 9.
136	144	1	2.2003188024082092E10	1.5534245942910675E10	3.134270576490296E9	3.3346715046811223E9	9.708903714319172E9	2.8493368877184505E9	1.0105065165700371E9	4.6	1.7	19.5	500.0	35.0	Generation 9.
136	145	1	2.1609440998155106E10	1.5955003953822792E10	2.18606199485332E9	3.468375049478991E9	9.971877471139244E9	1.9873290862302907E9	1.051022742266361E9	4.4	1.7	18.5	440.0	30.0	Generation 10.
137	146	1	2.187104873319751E10	1.6268369422611464E10	2.194038715523803E9	3.4086405950622444E9	1.0167730889132164E10	1.9945806504761846E9	1.0329213924431044E9	4.5	1.6	17.5	480.0	40.0	Generation 10.
138	147	1	2.232239461107976E10	1.674277003630398E10	2.1685960127046213E9	3.411028562071158E9	1.0464231272689987E10	1.9714509206405647E9	1.0336450188094419E9	4.7	1.4	17.5	560.0	60.0	Generation 10.
139	148	1	2.1870306683560135E10	1.5974537347555058E10	2.446495508147252E9	3.4492738278578267E9	9.98408584222191E9	2.224086825588411E9	1.0452344932902505E9	4.6	1.6	19.0	480.0	30.0	Generation 10.
140	149	1	2.159499597042178E10	1.5884087913990644E10	2.277100379070705E9	3.433807677360432E9	9.927554946244152E9	2.0700912537006407E9	1.0405477810183128E9	4.3	1.8	17.5	440.0	30.0	Generation 10.
141	150	1	2.1680839655892673E10	1.6774676265769321E10	1.3864657222755768E9	3.5196976678477755E9	1.0484172666105825E10	1.260423383886888E9	1.0665750508629622E9	3.6	1.9	17.0	420.0	30.0	Generation 10.
142	151	1	2.2429983159843155E10	1.768415749052601E10	1.2779269605801437E9	3.4678987087370033E9	1.1052598431578754E10	1.161751782345585E9	1.0508783965869708E9	3.7	1.7	15.5	440.0	45.0	Generation 10.
143	152	1	2.198641361102634E10	1.6379110448881657E10	2.2208820961014724E9	3.386421066043214E9	1.0236944030551035E10	2.018983723728611E9	1.026188201831277E9	4.0	1.9	15.5	480.0	30.0	Generation 10.
144	153	1	2.1632447542590546E10	1.564765074146651E10	2.6512878333063345E9	3.3335089678176975E9	9.779781713416569E9	2.4102616666421223E9	1.0101542326720296E9	4.0	2.0	17.5	460.0	30.0	Generation 10.
145	154	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Generation 10.
146	155	1	2.1907985586893024E10	1.6903425352362022E10	1.51879981447681E9	3.485760420054192E9	1.0564640845226263E10	1.380727104069827E9	1.0562910363800583E9	3.6	1.9	16.5	440.0	30.0	Generation 10.
147	156	1	2.182703272398633E10	1.554614560952613E10	2.9764463816839576E9	3.3044407327762403E9	9.71634100595383E9	2.705860346985416E9	1.0013456765988607E9	4.1	2.0	17.0	480.0	30.0	Generation 10.
148	157	1	2.1613971015831753E10	1.6148689710026184E10	2.0234683076040218E9	3.441812998201546E9	1.0092931068766365E10	1.8395166432763834E9	1.0429736358186505E9	4.3	1.7	18.0	440.0	35.0	Generation 10.
149	158	1	2.162894277601048E10	1.6040723540725218E10	2.1982552802514567E9	3.389963955033806E9	1.002545221295326E10	1.998413891137688E9	1.0272618045556988E9	3.9	1.9	18.0	460.0	30.0	Generation 10.
150	159	1	2.2290080722542046E10	1.5568698067723312E10	3.3757513599180574E9	3.3456312949006763E9	9.73043629232707E9	3.068864872652779E9	1.013827665121417E9	4.8	1.6	21.0	540.0	35.0	Generation 10.
151	160	1	2.181726965491066E10	1.5558228097944649E10	2.9412223368798018E9	3.31781922008621E9	9.723892561215405E9	2.673838488072547E9	1.0053997636624879E9	4.4	1.8	18.5	480.0	35.0	Generation 10.
145	154	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Minimum point.
145	161	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Minimum point of initialization.
151	162	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Initial point.
158	163	1	2.1275516121006866E10	1.5744157840039433E10	2.189760350204228E9	3.341597930763205E9	9.840098650024645E9	1.9906912274583888E9	1.0126054335646076E9	3.9	2.0	18.0	420.0	35.0	Global search reduced cost.
167	164	1	2.1025934415082287E10	1.5677314416361235E10	2.0664333566726816E9	3.2821866420483694E9	9.79832151022577E9	1.8785757787933466E9	9.946020127419302E8	3.9	2.0	18.5	380.0	45.0	Global search reduced cost.
175	165	1	2.085020190521665E10	1.5558921496587013E10	2.045819665717503E9	3.245460742912133E9	9.724325935366882E9	1.8598360597431846E9	9.834729523976161E8	3.8	2.1	18.5	320.0	50.0	Global search reduced cost.
182	166	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Global search reduced cost.
182	167	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Iteration step did not reduce cost. Reduce step size to '0.5'.
204	168	1	2.07299258731299E10	1.5583188490670815E10	1.888212092453247E9	3.2585252900058413E9	9.739492806669258E9	1.7165564476847699E9	9.874319060623761E8	3.6	2.2	18.75	240.0	52.5	Global search reduced cost.
204	169	1	2.07299258731299E10	1.5583188490670815E10	1.888212092453247E9	3.2585252900058413E9	9.739492806669258E9	1.7165564476847699E9	9.874319060623761E8	3.6	2.2	18.75	240.0	52.5	Iteration step did not reduce cost. Reduce step size to '0.25'.
221	170	1	2.0729299869863552E10	1.562390987350193E10	1.8430494800181313E9	3.2623405163434896E9	9.764943670938705E9	1.67549952728921E9	9.88588035255603E8	3.575	2.2	18.75	240.0	52.5	Global search reduced cost.
221	171	1	2.0729299869863552E10	1.562390987350193E10	1.8430494800181313E9	3.2623405163434896E9	9.764943670938705E9	1.67549952728921E9	9.88588035255603E8	3.575	2.2	18.75	240.0	52.5	Iteration step did not reduce cost. Reduce step size to '0.125'.
237	172	1	2.072806671907381E10	1.5627005306376005E10	1.831102491885515E9	3.2699589208122916E9	9.766878316485003E9	1.6646386289868317E9	9.908966426703914E8	3.575	2.2	18.75	237.5	51.875	Global search reduced cost.
237	173	1	2.072806671907381E10	1.5627005306376005E10	1.831102491885515E9	3.2699589208122916E9	9.766878316485003E9	1.6646386289868317E9	9.908966426703914E8	3.575	2.2	18.75	237.5	51.875	Iteration step did not reduce cost. Reduce step size to '0.0625'.
261	174	1	2.072789372750109E10	1.5625889190909199E10	1.8344297856589122E9	3.267574750932981E9	9.766180744318249E9	1.667663441508102E9	9.901741669493883E8	3.575	2.2	18.75	237.5	52.1875	Global search reduced cost.
261	175	1	2.072789372750109E10	1.5625889190909199E10	1.8344297856589122E9	3.267574750932981E9	9.766180744318249E9	1.667663441508102E9	9.901741669493883E8	3.575	2.2	18.75	237.5	52.1875	Iteration step did not reduce cost. Maximum number of step reductions reached.
261	175	1	2.072789372750109E10	1.5625889190909199E10	1.8344297856589122E9	3.267574750932981E9	9.766180744318249E9	1.667663441508102E9	9.901741669493883E8	3.575	2.2	18.75	237.5	52.1875	Minimum point.
