GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:07:51 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	setpointT	setpointS	slatAng
116	123	1	1	2.328450796752794E10	1.857417599039381E10	1.0935666030851445E9	3.6167653740489864E9	1.1608859993996132E10	9.941514573501314E8	1.0959895072875717E9	3.4	1.6	16.5	460.0	40.0	Generation 8.
117	124	1	1	2.192294202783374E10	1.6209072264003727E10	2.3696982176087437E9	3.344171546221266E9	1.0130670165002329E10	2.1542711069170394E9	1.0133853170367472E9	3.9	2.0	15.5	480.0	30.0	Generation 8.
118	125	1	1	2.184264389994566E10	1.5436748885112503E10	3.1262048608653097E9	3.279690153967846E9	9.647968053195314E9	2.842004418968463E9	9.938455012023776E8	4.3	1.9	18.0	480.0	35.0	Generation 8.
119	126	1	1	2.2618015620192696E10	1.5297758679685081E10	4.048932824007449E9	3.2713241165001645E9	9.561099174803175E9	3.6808480218249536E9	9.913103383333832E8	4.7	1.7	22.0	560.0	40.0	Generation 8.
120	127	1	1	2.285122374911017E10	1.6868396035042328E10	2.459411004597144E9	3.523416709470694E9	1.0542747521901455E10	2.2358281859974036E9	1.0677020331729376E9	5.2	1.2	22.0	620.0	45.0	Generation 8.
121	128	1	1	2.2215331981709736E10	1.5481634014165577E10	3.384107890032104E9	3.3495900775120554E9	9.676021258853485E9	3.0764617182110033E9	1.0150272962157744E9	4.9	1.6	20.5	520.0	35.0	Generation 8.
122	129	1	1	2.1609440998155106E10	1.5955003953822792E10	2.18606199485332E9	3.468375049478991E9	9.971877471139244E9	1.9873290862302907E9	1.051022742266361E9	4.4	1.7	18.5	440.0	30.0	Generation 9.
123	130	1	1	2.2090616656415028E10	1.6486940959592499E10	2.2082005553903966E9	3.395475141432133E9	1.0304338099745312E10	2.0074550503549058E9	1.0289318610400404E9	4.6	1.5	17.5	520.0	50.0	Generation 9.
124	131	1	1	2.241323220028973E10	1.6749552834176105E10	2.264076424718258E9	3.3996029413953676E9	1.0468470521360065E10	2.0582512951984162E9	1.0301827095137478E9	4.7	1.4	17.0	580.0	65.0	Generation 9.
125	132	1	1	2.2235542234554916E10	1.6328530873614658E10	2.4348893268527217E9	3.4721220340875373E9	1.0205331796009161E10	2.2135357516842923E9	1.0521581921477386E9	4.9	1.4	20.0	540.0	35.0	Generation 9.
126	133	1	1	2.1685427647597404E10	1.6021111166700575E10	2.2578459078116956E9	3.4064705730851307E9	1.0013194479187859E10	2.052587188919723E9	1.0322638100257972E9	4.2	1.9	16.0	440.0	30.0	Generation 9.
127	134	1	1	2.1990534374044468E10	1.73338125544313E10	1.0743736306597047E9	3.5823481889534593E9	1.0833632846519564E10	9.767033005997314E8	1.085560057258624E9	3.6	1.8	16.5	400.0	35.0	Generation 9.
128	135	1	1	2.3089167014542007E10	1.8280827454270588E10	1.3622025757984004E9	3.4461369844730167E9	1.1425517158919117E10	1.2383659779985456E9	1.0442839346887931E9	3.7	1.6	14.5	480.0	55.0	Generation 9.
129	136	1	1	2.2257214834427017E10	1.6827387833009184E10	2.0200062582587345E9	3.4098207431591E9	1.051711739563074E10	1.8363693256897585E9	1.0332790130785152E9	3.9	1.9	14.5	480.0	30.0	Generation 9.
129	137	1	1	2.168448111631615E10	1.551326637037977E10	2.849198660727633E9	3.322016085208747E9	9.695791481487356E9	2.5901806006614842E9	1.0066715409723476E9	4.1	2.0	17.5	460.0	30.0	Generation 9.
130	138	1	1	2.153673670350826E10	1.6043324447396875E10	2.1037425262505255E9	3.3896697298608575E9	1.0027077779623047E10	1.9124932056822958E9	1.0271726454123812E9	3.8	2.0	17.0	440.0	30.0	Generation 9.
131	139	1	1	2.2264472900051052E10	1.7477416339002872E10	1.272509589779697E9	3.5145469712684827E9	1.0923385211876795E10	1.1568268997997243E9	1.065014233717722E9	3.5	1.8	16.5	440.0	35.0	Generation 9.
132	140	1	1	2.1803153552007378E10	1.5818582823896454E10	2.662803231500452E9	3.321767496610472E9	9.886614264935284E9	2.420730210454956E9	1.0065962110940825E9	4.0	2.0	16.5	480.0	30.0	Generation 9.
133	141	1	1	2.1638790600995712E10	1.576600207859304E10	2.5206091420643563E9	3.3521793803383145E9	9.85375129912065E9	2.291462856422142E9	1.015811933435853E9	4.3	1.8	18.0	460.0	35.0	Generation 9.
134	142	1	1	2.1893851307328903E10	1.5722778526405067E10	2.8518666624947E9	3.319206118429134E9	9.826736579003166E9	2.5926060568133636E9	1.0058200358876164E9	4.2	1.8	19.5	500.0	35.0	Generation 9.
135	143	1	1	2.250060415669893E10	1.5988550648394798E10	3.105557436473167E9	3.4064960718309627E9	9.992844155246748E9	2.8232340331574244E9	1.0322715369184736E9	5.1	1.4	21.5	580.0	40.0	Generation 9.
136	144	1	1	2.2003188024082092E10	1.5534245942910675E10	3.134270576490296E9	3.3346715046811223E9	9.708903714319172E9	2.8493368877184505E9	1.0105065165700371E9	4.6	1.7	19.5	500.0	35.0	Generation 9.
136	145	1	1	2.1609440998155106E10	1.5955003953822792E10	2.18606199485332E9	3.468375049478991E9	9.971877471139244E9	1.9873290862302907E9	1.051022742266361E9	4.4	1.7	18.5	440.0	30.0	Generation 10.
137	146	1	1	2.187104873319751E10	1.6268369422611464E10	2.194038715523803E9	3.4086405950622444E9	1.0167730889132164E10	1.9945806504761846E9	1.0329213924431044E9	4.5	1.6	17.5	480.0	40.0	Generation 10.
138	147	1	1	2.232239461107976E10	1.674277003630398E10	2.1685960127046213E9	3.411028562071158E9	1.0464231272689987E10	1.9714509206405647E9	1.0336450188094419E9	4.7	1.4	17.5	560.0	60.0	Generation 10.
139	148	1	1	2.1870306683560135E10	1.5974537347555058E10	2.446495508147252E9	3.4492738278578267E9	9.98408584222191E9	2.224086825588411E9	1.0452344932902505E9	4.6	1.6	19.0	480.0	30.0	Generation 10.
140	149	1	1	2.159499597042178E10	1.5884087913990644E10	2.277100379070705E9	3.433807677360432E9	9.927554946244152E9	2.0700912537006407E9	1.0405477810183128E9	4.3	1.8	17.5	440.0	30.0	Generation 10.
141	150	1	1	2.1680839655892673E10	1.6774676265769321E10	1.3864657222755768E9	3.5196976678477755E9	1.0484172666105825E10	1.260423383886888E9	1.0665750508629622E9	3.6	1.9	17.0	420.0	30.0	Generation 10.
142	151	1	1	2.2429983159843155E10	1.768415749052601E10	1.2779269605801437E9	3.4678987087370033E9	1.1052598431578754E10	1.161751782345585E9	1.0508783965869708E9	3.7	1.7	15.5	440.0	45.0	Generation 10.
143	152	1	1	2.198641361102634E10	1.6379110448881657E10	2.2208820961014724E9	3.386421066043214E9	1.0236944030551035E10	2.018983723728611E9	1.026188201831277E9	4.0	1.9	15.5	480.0	30.0	Generation 10.
144	153	1	1	2.1632447542590546E10	1.564765074146651E10	2.6512878333063345E9	3.3335089678176975E9	9.779781713416569E9	2.4102616666421223E9	1.0101542326720296E9	4.0	2.0	17.5	460.0	30.0	Generation 10.
145	154	1	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Generation 10.
146	155	1	1	2.1907985586893024E10	1.6903425352362022E10	1.51879981447681E9	3.485760420054192E9	1.0564640845226263E10	1.380727104069827E9	1.0562910363800583E9	3.6	1.9	16.5	440.0	30.0	Generation 10.
147	156	1	1	2.182703272398633E10	1.554614560952613E10	2.9764463816839576E9	3.3044407327762403E9	9.71634100595383E9	2.705860346985416E9	1.0013456765988607E9	4.1	2.0	17.0	480.0	30.0	Generation 10.
148	157	1	1	2.1613971015831753E10	1.6148689710026184E10	2.0234683076040218E9	3.441812998201546E9	1.0092931068766365E10	1.8395166432763834E9	1.0429736358186505E9	4.3	1.7	18.0	440.0	35.0	Generation 10.
149	158	1	1	2.162894277601048E10	1.6040723540725218E10	2.1982552802514567E9	3.389963955033806E9	1.002545221295326E10	1.998413891137688E9	1.0272618045556988E9	3.9	1.9	18.0	460.0	30.0	Generation 10.
150	159	1	1	2.2290080722542046E10	1.5568698067723312E10	3.3757513599180574E9	3.3456312949006763E9	9.73043629232707E9	3.068864872652779E9	1.013827665121417E9	4.8	1.6	21.0	540.0	35.0	Generation 10.
151	160	1	1	2.181726965491066E10	1.5558228097944649E10	2.9412223368798018E9	3.31781922008621E9	9.723892561215405E9	2.673838488072547E9	1.0053997636624879E9	4.4	1.8	18.5	480.0	35.0	Generation 10.
145	154	2	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Minimum point.
145	161	1	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Minimum point of initialization.
151	162	1	1	2.151333799595845E10	1.5978505573249973E10	2.150327248316669E9	3.3845051743918076E9	9.986565983281233E9	1.9548429530151536E9	1.0256076286035781E9	3.8	2.0	17.5	440.0	30.0	Initial point.
152	163	1	1	2.1510033174206577E10	1.5820811969667597E10	2.3178953879887977E9	3.3713258165501814E9	9.888007481042248E9	2.1071776254443614E9	1.0216138838030853E9	3.9	2.0	17.5	440.0	30.0	Cost reduced     at windowLength+dwindowLength.
153	163	2	1	2.153000873555948E10	1.5536110975494736E10	2.671652715676225E9	3.3222450443885193E9	9.71006935968421E9	2.4287751960692954E9	1.0067409225419756E9	3.9	2.1	17.5	440.0	30.0	Cost not reduced at windowWidth+dwindowWidth.
154	163	3	1	2.1576160382457535E10	1.6145414049111341E10	2.0053987293020654E9	3.425347604044128E9	1.0090883780694588E10	1.8230897539109683E9	1.0379841224376146E9	3.9	1.9	17.5	440.0	30.0	Cost not reduced at windowWidth-dwindowWidth.
155	163	4	1	2.149138398780083E10	1.5740514256971031E10	2.3859989893691173E9	3.3648707414606824E9	9.837821410606894E9	2.169089990335561E9	1.0196578004426311E9	3.9	2.0	18.0	440.0	30.0	Cost reduced     at setpointT+dsetpointT.
156	163	5	1	2.1592754388401142E10	1.5717966899850716E10	2.5350524901425476E9	3.3397349984078803E9	9.823729312406696E9	2.304593172856861E9	1.0120409086084486E9	3.9	2.0	18.0	460.0	30.0	Cost not reduced at setpointS+dsetpointS.
157	163	6	1	2.131520897354431E10	1.5761828736636356E10	2.1516716965638676E9	3.4017085403440866E9	9.851142960397722E9	1.9560651786944249E9	1.0308207698012384E9	3.9	2.0	18.0	420.0	30.0	Cost reduced     at setpointS-dsetpointS.
158	163	7	1	2.1275516121006866E10	1.5744157840039433E10	2.189760350204228E9	3.341597930763205E9	9.840098650024645E9	1.9906912274583888E9	1.0126054335646076E9	3.9	2.0	18.0	420.0	35.0	Cost reduced     at slatAng+dslatAng.
158	163	8	1	2.1275516121006866E10	1.5744157840039433E10	2.189760350204228E9	3.341597930763205E9	9.840098650024645E9	1.9906912274583888E9	1.0126054335646076E9	3.9	2.0	18.0	420.0	35.0	Global search reduced cost.
159	164	1	1	2.1147295978605667E10	1.5534868474489063E10	2.314991319464059E9	3.297436184652544E9	9.709292796555664E9	2.1045375631491444E9	9.992230862583467E8	4.0	2.0	18.5	400.0	40.0	Exploration base, Delta = 1.0.
160	164	2	1	2.119155286485896E10	1.5401932116483494E10	2.505557471501013E9	3.2840632768744535E9	9.626207572802183E9	2.2777795195463753E9	9.951706899619557E8	4.1	2.0	18.5	400.0	40.0	Cost not reduced at windowLength+dwindowLength.
161	164	3	1	2.1127900567058018E10	1.5679770062345825E10	2.1366426614885273E9	3.3114878432236676E9	9.79985628896614E9	1.9424024195350246E9	1.0034811646132326E9	3.9	2.0	18.5	400.0	40.0	Cost reduced     at windowLength-dwindowLength.
162	164	4	1	2.1146434578292324E10	1.5398143267151676E10	2.48909336268494E9	3.259197948455708E9	9.623839541969797E9	2.2628121478953996E9	9.876357419562752E8	3.9	2.1	18.5	400.0	40.0	Cost not reduced at windowWidth+dwindowWidth.
163	164	5	1	2.119953677697116E10	1.6001137897739805E10	1.8268960188274472E9	3.3715028604039083E9	1.0000711186087378E10	1.6608145625704064E9	1.0216675334557298E9	3.9	1.9	18.5	400.0	40.0	Cost not reduced at windowWidth-dwindowWidth.
164	164	6	1	2.113975984470039E10	1.562574732669468E10	2.2057734481258025E9	3.308239069879911E9	9.766092079184174E9	2.005248589205275E9	1.0024966878423973E9	3.9	2.0	19.0	400.0	40.0	Cost not reduced at setpointT+dsetpointT.
165	164	7	1	2.1131461448742943E10	1.5745546515932304E10	2.071410219747408E9	3.3145047130632334E9	9.84096657245769E9	1.8831001997703707E9	1.0043953675949193E9	3.9	2.0	18.0	400.0	40.0	Cost not reduced at setpointT-dsetpointT.
166	164	8	1	2.1046949012570793E10	1.5694122298127302E10	2.0212804798142362E9	3.3315462346292524E9	9.808826436329563E9	1.8375277089220328E9	1.0095594650391674E9	3.9	2.0	18.5	380.0	40.0	Cost reduced     at setpointS-dsetpointS.
167	164	9	1	2.1025934415082287E10	1.5677314416361235E10	2.0664333566726816E9	3.2821866420483694E9	9.79832151022577E9	1.8785757787933466E9	9.946020127419302E8	3.9	2.0	18.5	380.0	45.0	Cost reduced     at slatAng+dslatAng.
167	164	10	1	2.1025934415082287E10	1.5677314416361235E10	2.0664333566726816E9	3.2821866420483694E9	9.79832151022577E9	1.8785757787933466E9	9.946020127419302E8	3.9	2.0	18.5	380.0	45.0	Global search reduced cost.
168	165	1	1	2.0936502860841755E10	1.5618023399645111E10	2.0793308344608622E9	3.239148626735781E9	9.761264624778194E9	1.8903007586007836E9	9.815601899199337E8	3.9	2.0	19.0	340.0	55.0	Exploration base, Delta = 1.0.
169	165	2	1	2.0935809217837227E10	1.5773108558696089E10	1.910503993411892E9	3.2521966657292485E9	9.858192849185055E9	1.7368218121926289E9	9.855141411300753E8	3.8	2.0	19.0	340.0	55.0	Cost reduced     at windowLength-dwindowLength.
170	165	3	1	2.092148312140477E10	1.5478020392364414E10	2.2350894137693796E9	3.2083733152709765E9	9.673762745227758E9	2.0318994670630722E9	9.72234337960902E8	3.8	2.1	19.0	340.0	55.0	Cost reduced     at windowWidth+dwindowWidth.
171	165	4	1	2.096158944152081E10	1.5429537932120407E10	2.3241102102127247E9	3.207941299187678E9	9.643461207575254E9	2.1128274638297496E9	9.72103423996266E8	3.8	2.1	19.5	340.0	55.0	Cost not reduced at setpointT+dsetpointT.
172	165	5	1	2.0897093182035408E10	1.5529669676706781E10	2.158470708547304E9	3.208952796781322E9	9.706043547941738E9	1.962246098679367E9	9.724099384185824E8	3.8	2.1	18.5	340.0	55.0	Cost reduced     at setpointT-dsetpointT.
173	165	6	1	2.0859103626453518E10	1.5541375914318336E10	2.1002152131226423E9	3.217512499012538E9	9.71335994644896E9	1.9092865573842201E9	9.750037875795571E8	3.8	2.1	18.5	320.0	55.0	Cost reduced     at setpointS-dsetpointS.
174	165	7	1	2.088254728422214E10	1.552500853283526E10	2.154976465536595E9	3.2025622858502855E9	9.703130333022038E9	1.959069514124177E9	9.70473419954632E8	3.8	2.1	18.5	320.0	60.0	Cost not reduced at slatAng+dslatAng.
175	165	8	1	2.085020190521665E10	1.5558921496587013E10	2.045819665717503E9	3.245460742912133E9	9.724325935366882E9	1.8598360597431846E9	9.834729523976161E8	3.8	2.1	18.5	320.0	50.0	Cost reduced     at slatAng-dslatAng.
175	165	9	1	2.085020190521665E10	1.5558921496587013E10	2.045819665717503E9	3.245460742912133E9	9.724325935366882E9	1.8598360597431846E9	9.834729523976161E8	3.8	2.1	18.5	320.0	50.0	Global search reduced cost.
176	166	1	1	2.0776500740653408E10	1.5446277558781223E10	2.1097243353640912E9	3.2204988465080953E9	9.653923474238264E9	1.9179312139673555E9	9.759087413660895E8	3.7	2.2	18.5	260.0	55.0	Exploration base, Delta = 1.0.
177	166	2	1	2.0749945176222115E10	1.5597955146026731E10	1.9188772833173883E9	3.233112746877996E9	9.748721966266706E9	1.7444338939248984E9	9.797311354175746E8	3.6	2.2	18.5	260.0	55.0	Cost reduced     at windowLength-dwindowLength.
178	166	3	1	2.0808595008739777E10	1.5886684266658653E10	1.642713289962841E9	3.279197452118284E9	9.929177666661657E9	1.4933757181480372E9	9.936961976116014E8	3.6	2.1	18.5	260.0	55.0	Cost not reduced at windowWidth-dwindowWidth.
179	166	4	1	2.0754788297308113E10	1.5669039112306305E10	1.851257349954119E9	3.234491835047689E9	9.79314944519144E9	1.682961227231017E9	9.801490409235421E8	3.6	2.2	18.0	260.0	55.0	Cost not reduced at setpointT-dsetpointT.
180	166	5	1	2.0762238428823128E10	1.5539017687586527E10	1.9922675354298754E9	3.230953205806725E9	9.71188605474158E9	1.8111523049362502E9	9.79076729032341E8	3.6	2.2	19.0	260.0	55.0	Cost not reduced at setpointT+dsetpointT.
181	166	6	1	2.0740603426974556E10	1.5606638907264713E10	1.888535079289702E9	3.2454294404201384E9	9.754149317040445E9	1.716850072081547E9	9.834634667939814E8	3.6	2.2	18.5	240.0	55.0	Cost reduced     at setpointS-dsetpointS.
182	166	7	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Cost reduced     at slatAng-dslatAng.
182	166	8	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Global search reduced cost.
183	167	1	1	2.0820502683827793E10	1.5998409234370636E10	1.4267520928549123E9	3.395341356602245E9	9.999005771481647E9	1.2970473571408293E9	1.0288913201824985E9	3.4	2.2	18.5	160.0	50.0	Cost reduced     at windowWidth-dwindowWidth.
184	167	2	1	2.0862272898326687E10	1.6084404741146727E10	1.3748836831707823E9	3.402984474009179E9	1.0052752963216703E10	1.2498942574279838E9	1.031207416366418E9	3.4	2.2	18.0	160.0	50.0	Cost not reduced at setpointT-dsetpointT.
185	167	3	1	2.0801117132298016E10	1.5928622508728981E10	1.4843747803096068E9	3.3881198432594256E9	9.955389067955612E9	1.3494316184632788E9	1.0267029828058866E9	3.4	2.2	19.0	160.0	50.0	Cost reduced     at setpointT+dsetpointT.
186	167	4	1	2.080377952946828E10	1.5931288992266579E10	1.4673392645565875E9	3.4051512726451144E9	9.95705562016661E9	1.3339447859605339E9	1.0318640220136712E9	3.4	2.2	19.0	140.0	50.0	Cost not reduced at setpointS-dsetpointS.
187	167	5	1	2.0792756220506832E10	1.5924662595962067E10	1.5030218657336035E9	3.365071758811162E9	9.952914122476292E9	1.3663835143032758E9	1.0197187147912612E9	3.4	2.2	19.0	180.0	50.0	Cost reduced     at setpointS+dsetpointS.
188	167	6	1	2.0820103641468735E10	1.5944274228063751E10	1.4534864981081924E9	3.42234291529679E9	9.965171392539845E9	1.3213513619165385E9	1.0370736106959971E9	3.4	2.2	19.0	180.0	45.0	Cost not reduced at slatAng-dslatAng.
189	167	7	1	2.0780988357893215E10	1.5906133004648222E10	1.5536034231057892E9	3.321251930139201E9	9.941333127905138E9	1.41236674827799E9	1.0064399788300611E9	3.4	2.2	19.0	180.0	55.0	Cost reduced     at slatAng+dslatAng.
190	167	8	1	2.075408193961137E10	1.5794212598976242E10	1.6623949358015304E9	3.297474404833598E9	9.871382874360151E9	1.5112681234559367E9	9.992346681313934E8	3.5	2.2	18.5	240.0	50.0	Cost not reduced at windowLength-dwindowLength.
191	167	9	1	2.0755714238383034E10	1.5474801559931168E10	2.0177157008203592E9	3.263196977631507E9	9.67175097495698E9	1.834287000745781E9	9.888475689792446E8	3.7	2.2	18.5	240.0	50.0	Cost not reduced at windowLength+dwindowLength.
192	167	10	1	2.0818148147616707E10	1.5915937826828201E10	1.566097393988558E9	3.3361129267999444E9	9.947461141767626E9	1.4237249036259618E9	1.0109433111514983E9	3.6	2.1	18.5	240.0	50.0	Cost not reduced at windowWidth-dwindowWidth.
193	167	11	1	2.0742411527400734E10	1.5562772194921553E10	1.9039130367561893E9	3.275726295722992E9	9.72673262182597E9	1.7308300334147174E9	9.926443320372703E8	3.6	2.2	19.0	240.0	50.0	Cost not reduced at setpointT+dsetpointT.
194	167	12	1	2.075514608961024E10	1.5704672087246717E10	1.767465988133767E9	3.283008014229756E9	9.815420054529198E9	1.6067872619397879E9	9.948509134029564E8	3.6	2.2	18.0	240.0	50.0	Cost not reduced at setpointT-dsetpointT.
195	167	13	1	2.074621201783322E10	1.5617482264055847E10	1.863583263329344E9	3.2651464904480286E9	9.760926415034904E9	1.6941666030266762E9	9.894383304387965E8	3.6	2.2	18.5	260.0	50.0	Cost not reduced at setpointS+dsetpointS.
196	167	14	1	2.0741875101107994E10	1.5635587552743103E10	1.8102005591648145E9	3.296086989200075E9	9.77224222046444E9	1.645636871968013E9	9.98814239151538E8	3.6	2.2	18.5	220.0	50.0	Cost not reduced at setpointS-dsetpointS.
196	167	15	1	2.0740603426974556E10	1.5606638907264713E10	1.888535079289702E9	3.2454294404201384E9	9.754149317040445E9	1.716850072081547E9	9.834634667939814E8	3.6	2.2	18.5	240.0	55.0	Cost not reduced at slatAng+dslatAng.
197	167	16	1	2.0757940466915237E10	1.5648321066589033E10	1.7792737007708566E9	3.330345699555348E9	9.780200666618145E9	1.617521546155324E9	1.0091956665319237E9	3.6	2.2	18.5	240.0	45.0	Cost not reduced at slatAng-dslatAng.
182	167	17	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Iteration step did not reduce cost. Reduce step size to '0.5'.
197	168	1	1	2.0739522744102226E10	1.5626888215110025E10	1.8330081847907066E9	3.279626344201493E9	9.766805134443766E9	1.6663710770824604E9	9.938261649095433E8	3.6	2.2	18.5	240.0	50.0	Exploration base, Delta = 0.5.
198	168	2	1	2.0743721249503178E10	1.5709131005228855E10	1.7461426524204907E9	3.288447591853833E9	9.818206878268034E9	1.5874024112913551E9	9.964992702587374E8	3.55	2.2	18.5	240.0	50.0	Cost not reduced at windowLength-dwindowLength.
199	168	3	1	2.074398853470441E10	1.5549134283331406E10	1.9235472224341118E9	3.271307028938891E9	9.718208927082129E9	1.7486792931219196E9	9.913051602845125E8	3.65	2.2	18.5	240.0	50.0	Cost not reduced at windowLength+dwindowLength.
200	168	4	1	2.0768863581359905E10	1.5767285999944181E10	1.6949531166286447E9	3.3066244647870784E9	9.854553749965113E9	1.540866469662404E9	1.002007413571842E9	3.6	2.15	18.5	240.0	50.0	Cost not reduced at windowWidth-dwindowWidth.
201	168	5	1	2.073183399073775E10	1.5592255126463837E10	1.861288894690397E9	3.2782899695835185E9	9.745159454039898E9	1.6920808133549063E9	9.934212029040966E8	3.6	2.2	18.75	240.0	50.0	Cost reduced     at setpointT+dsetpointT.
202	168	6	1	2.0735273095537148E10	1.5587623715788095E10	1.8774882103450325E9	3.2701611694040165E9	9.74226482236756E9	1.7068074639500294E9	9.909579301224293E8	3.6	2.2	18.75	250.0	50.0	Cost not reduced at setpointS+dsetpointS.
203	168	7	1	2.0734258841587067E10	1.5597148091886976E10	1.8499245843374383E9	3.28718616536265E9	9.74821755742936E9	1.6817496221249437E9	9.961170198068637E8	3.6	2.2	18.75	230.0	50.0	Cost not reduced at setpointS-dsetpointS.
204	168	8	1	2.07299258731299E10	1.5583188490670815E10	1.888212092453247E9	3.2585252900058413E9	9.739492806669258E9	1.7165564476847699E9	9.874319060623761E8	3.6	2.2	18.75	240.0	52.5	Cost reduced     at slatAng+dslatAng.
204	168	9	1	2.07299258731299E10	1.5583188490670815E10	1.888212092453247E9	3.2585252900058413E9	9.739492806669258E9	1.7165564476847699E9	9.874319060623761E8	3.6	2.2	18.75	240.0	52.5	Global search reduced cost.
205	169	1	1	2.075036812500848E10	1.5546045341548033E10	1.961428503408626E9	3.2428942800518227E9	9.71627833846752E9	1.783116821280569E9	9.826952363793403E8	3.6	2.2	19.0	240.0	55.0	Exploration base, Delta = 0.5.
206	169	2	1	2.0746711371038376E10	1.5627572277333332E10	1.8692271230858517E9	3.2499119706191955E9	9.767232673333332E9	1.6992973846235013E9	9.848218092785441E8	3.55	2.2	19.0	240.0	55.0	Cost reduced     at windowLength-dwindowLength.
207	169	3	1	2.077231958874142E10	1.5769934431873627E10	1.7297950600463545E9	3.2725900968214374E9	9.856209019921017E9	1.572540963678504E9	9.916939687337689E8	3.55	2.15	19.0	240.0	55.0	Cost not reduced at windowWidth-dwindowWidth.
208	169	4	1	2.075094081171508E10	1.560098516907194E10	1.900975390139252E9	3.248980252503889E9	9.750615730669962E9	1.728159445581138E9	9.84539470455724E8	3.55	2.2	19.25	240.0	55.0	Cost not reduced at setpointT+dsetpointT.
209	169	5	1	2.0735622471969975E10	1.5655834332121819E10	1.8280219131863656E9	3.2517662266617875E9	9.784896457576136E9	1.6618381028966959E9	9.853837050490266E8	3.55	2.2	18.75	240.0	55.0	Cost reduced     at setpointT-dsetpointT.
210	169	6	1	2.0739597092891075E10	1.565148365050355E10	1.84346974426333E9	3.244643698124194E9	9.782177281564718E9	1.675881585693936E9	9.832253630679376E8	3.55	2.2	18.75	250.0	55.0	Cost not reduced at setpointS+dsetpointS.
211	169	7	1	2.07370229473918E10	1.5660390681551567E10	1.816882766315566E9	3.259749499524664E9	9.787744175969728E9	1.6517116057414236E9	9.878028786438376E8	3.55	2.2	18.75	230.0	55.0	Cost not reduced at setpointS-dsetpointS.
212	169	8	1	2.0740992126116875E10	1.5647281524038502E10	1.8548112259860115E9	3.238899376092361E9	9.779550952524063E9	1.6861920236236467E9	9.814846594219277E8	3.55	2.2	18.75	240.0	57.5	Cost not reduced at slatAng+dslatAng.
213	169	9	1	2.073040671260047E10	1.5665214422391224E10	1.7988176499729922E9	3.2663746402362566E9	9.790759013994514E9	1.63528877270272E9	9.898104970412899E8	3.55	2.2	18.75	240.0	52.5	Cost reduced     at slatAng-dslatAng.
213	169	10	1	2.073040671260047E10	1.5665214422391224E10	1.7988176499729922E9	3.2663746402362566E9	9.790759013994514E9	1.63528877270272E9	9.898104970412899E8	3.55	2.2	18.75	240.0	52.5	Cost not reduced at windowLength-dwindowLength.
214	169	11	1	2.073866713622056E10	1.5505921098681553E10	1.981562524303192E9	3.251183513235814E9	9.69120068667597E9	1.8014204766392653E9	9.852071252229741E8	3.65	2.2	18.75	240.0	52.5	Cost not reduced at windowLength+dwindowLength.
215	169	12	1	2.0751931288342857E10	1.5723261161761421E10	1.745747877661765E9	3.2829222489196687E9	9.827038226100887E9	1.587043525147059E9	9.948249239150512E8	3.6	2.15	18.75	240.0	52.5	Cost not reduced at windowWidth-dwindowWidth.
216	169	13	1	2.073558256994208E10	1.5616909000915836E10	1.8591365773366377E9	3.2595369916896057E9	9.760568125572397E9	1.690124161215125E9	9.877384823301836E8	3.6	2.2	18.5	240.0	52.5	Cost not reduced at setpointT-dsetpointT.
217	169	14	1	2.07420547240556E10	1.555456639389154E10	1.9310717294410372E9	3.2564166007230225E9	9.721603996182213E9	1.7555197540373063E9	9.867929093100069E8	3.6	2.2	19.0	240.0	52.5	Cost not reduced at setpointT+dsetpointT.
