GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 16:37:36 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowHeight
109	139	1	1	2.3316636325351357E10	1.741773538614738E10	2.449301972824009E9	3.449598966379965E9	1.0886084616342113E10	2.2266381571127353E9	1.0453330201151409E9	4.1	1.4	Generation 9.
110	140	1	1	2.3167639400016804E10	1.5679843595661636E10	4.2338935388294997E9	3.2539022655256696E9	9.799902247288523E9	3.848994126208636E9	9.860309895532333E8	4.1	1.8	Generation 9.
110	141	1	1	2.4581202844972706E10	1.942081729318512E10	1.5398525421902318E9	3.6205330095973563E9	1.21380108082407E10	1.3998659474456651E9	1.097131215029502E9	3.4	1.3	Generation 9.
111	142	1	1	2.4246118819966244E10	1.864014776957478E10	1.8517847876185415E9	3.7541862627729216E9	1.1650092355984238E10	1.6834407160168557E9	1.1376322008402793E9	4.9	1.0	Generation 9.
112	143	1	1	2.3867902627412E10	1.837414617048494E10	1.9478242009773493E9	3.54593225594971E9	1.1483841356553087E10	1.770749273615772E9	1.0745249260453668E9	3.9	1.3	Generation 9.
112	144	1	1	2.3187837300812447E10	1.7062063494318745E10	2.6957881752222457E9	3.429985631271458E9	1.0663789683949215E10	2.450716522929314E9	1.0393895852337753E9	4.3	1.4	Generation 9.
113	145	1	1	2.349780438770756E10	1.780033182825523E10	2.226382867497169E9	3.4710896919551606E9	1.1125207392659517E10	2.0239844249974263E9	1.0518453611985335E9	3.9	1.4	Generation 10.
113	146	1	1	2.3149606579794506E10	1.6527124164275284E10	3.186530562193593E9	3.43595185332563E9	1.0329452602672052E10	2.896845965630539E9	1.0411975313107971E9	5.0	1.3	Generation 10.
114	147	1	1	2.3903765205355373E10	1.8229030706578358E10	2.0286127288283572E9	3.646121769948658E9	1.1393144191611473E10	1.844193389843961E9	1.1048853848329268E9	4.7	1.1	Generation 10.
113	148	1	1	2.349780438770756E10	1.780033182825523E10	2.226382867497169E9	3.4710896919551606E9	1.1125207392659517E10	2.0239844249974263E9	1.0518453611985335E9	3.9	1.4	Generation 10.
114	149	1	1	2.308839773816748E10	1.697906720396374E10	2.74404578828703E9	3.365284745916708E9	1.0611917002477337E10	2.4945870802609363E9	1.0197832563383964E9	3.8	1.6	Generation 10.
115	150	1	1	2.30642977802419E10	1.6409467486390324E10	3.288197963818001E9	3.3666323300335755E9	1.0255917178993952E10	2.989270876198182E9	1.0201916151616896E9	4.4	1.5	Generation 10.
116	151	1	1	2.3395418098256985E10	1.767005016481177E10	2.292532518271151E9	3.4328354151740623E9	1.1043781353007357E10	2.0841204711555917E9	1.0402531561133523E9	3.7	1.5	Generation 10.
116	152	1	1	2.3024097372202084E10	1.6613505628500181E10	3.0639061132187185E9	3.346685630483184E9	1.0383441017812613E10	2.7853691938351984E9	1.01414716075248E9	4.0	1.6	Generation 10.
116	153	1	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Generation 10.
116	154	1	1	2.3395418098256985E10	1.767005016481177E10	2.292532518271151E9	3.4328354151740623E9	1.1043781353007357E10	2.0841204711555917E9	1.0402531561133523E9	3.7	1.5	Generation 10.
117	155	1	1	2.310812482451913E10	1.6900413389341837E10	2.8152360397142396E9	3.392475395463056E9	1.0562758368338648E10	2.5593054906493087E9	1.0280228471100171E9	4.1	1.5	Generation 10.
118	156	1	1	2.3030074910893085E10	1.5988171463740751E10	3.7736238379237304E9	3.2682796092286034E9	9.992607164837969E9	3.430567125385209E9	9.903877603723041E8	3.9	1.8	Generation 10.
119	157	1	1	2.350310596605488E10	1.7881382651041615E10	2.1773663309523945E9	3.444356984060866E9	1.1175864156901009E10	1.9794239372294493E9	1.0437445406245049E9	3.6	1.5	Generation 10.
119	158	1	1	2.3720532471506058E10	1.7910476885029186E10	2.188410649812583E9	3.6216449366642876E9	1.1194048053143242E10	1.9894642271023479E9	1.0974681626255417E9	4.9	1.1	Generation 10.
120	159	1	1	2.36439452812488E10	1.7989428299016216E10	2.132874270895759E9	3.521642711336824E9	1.1243392686885134E10	1.9389766099052353E9	1.0671644579808558E9	4.1	1.3	Generation 10.
121	160	1	1	2.3076904953719555E10	1.672907135508805E10	2.964352353997343E9	3.3834812446341586E9	1.045566959693003E10	2.694865776361221E9	1.0252973468588359E9	4.2	1.5	Generation 10.
116	153	2	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Minimum point.
116	161	1	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Minimum point of initialization.
121	162	1	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Initial point.
122	163	1	1	2.29838212441356E10	1.6543052704204004E10	3.1238315829501476E9	3.3169369569814506E9	1.0339407940127502E10	2.839846893591043E9	1.0051324112065002E9	3.8	1.7	Cost reduced     at windowLength+dwindowLength.
123	163	2	1	2.2982836357556484E10	1.6153355360860447E10	3.5533101440616302E9	3.276170852634407E9	1.0095847100537779E10	3.2302819491469364E9	9.927790462528507E8	3.8	1.8	Cost reduced     at windowHeight+dwindowHeight.
123	163	3	1	2.2982836357556484E10	1.6153355360860447E10	3.5533101440616302E9	3.276170852634407E9	1.0095847100537779E10	3.2302819491469364E9	9.927790462528507E8	3.8	1.8	Global search reduced cost.
124	164	1	1	2.315126414082828E10	1.5647111556688868E10	4.2686035160813155E9	3.235549068058097E9	9.779444722930542E9	3.8805486509830136E9	9.804694145630597E8	3.9	1.9	Exploration base, Delta = 1.0.
125	164	2	1	2.3251767829076885E10	1.5498284334006449E10	4.524476055190192E9	3.2290074398802466E9	9.68642770875403E9	4.1131600501729016E9	9.784871029940141E8	4.0	1.9	Cost not reduced at windowLength+dwindowLength.
126	164	3	1	2.306888974745211E10	1.5804874675393814E10	4.021509843616282E9	3.2425052284420114E9	9.878046672121134E9	3.655918039651165E9	9.825773419521247E8	3.8	1.9	Cost reduced     at windowLength-dwindowLength.
127	164	4	1	2.322328866075974E10	1.5489324072235987E10	4.5194094706888485E9	3.2145551178349037E9	9.680827545147491E9	4.1085540642625895E9	9.741076114651225E8	3.8	2.0	Cost not reduced at windowHeight+dwindowHeight.
127	164	5	1	2.2982836357556484E10	1.6153355360860447E10	3.5533101440616302E9	3.276170852634407E9	1.0095847100537779E10	3.2302819491469364E9	9.927790462528507E8	3.8	1.8	Cost reduced     at windowHeight-dwindowHeight.
128	164	6	1	2.295521981741555E10	1.6329249931670456E10	3.3416904719362764E9	3.284279413808818E9	1.0205781207294035E10	3.0379004290329785E9	9.952361860026722E8	3.7	1.8	Cost reduced     at windowLength-dwindowLength.
128	164	7	1	2.299980654814319E10	1.6728746053012886E10	2.945221681702031E9	3.3258388134282727E9	1.0455466283133053E10	2.6774742560927553E9	1.0078299434631131E9	3.7	1.7	Cost not reduced at windowHeight-dwindowHeight.
129	164	8	1	2.3002843363317276E10	1.5971515562357075E10	3.7815731368384924E9	3.2497546641217084E9	9.982197226473171E9	3.4377937607622657E9	9.84774140642942E8	3.7	1.9	Cost not reduced at windowHeight+dwindowHeight.
128	164	9	1	2.295521981741555E10	1.6329249931670456E10	3.3416904719362764E9	3.284279413808818E9	1.0205781207294035E10	3.0379004290329785E9	9.952361860026722E8	3.7	1.8	Local search reduced cost.
130	165	1	1	2.29504597331026E10	1.6515797628869003E10	3.14150149982085E9	3.2931606044127445E9	1.0322373518043127E10	2.855910454382591E9	9.979274558826499E8	3.6	1.8	Exploration base, Delta = 1.0.
131	165	2	1	2.2965767892661674E10	1.671168623957107E10	2.951524133243039E9	3.3025575198475647E9	1.0444803899731918E10	2.683203757493672E9	1.0007750060144136E9	3.5	1.8	Cost not reduced at windowLength-dwindowLength.
131	165	3	1	2.295521981741555E10	1.6329249931670456E10	3.3416904719362764E9	3.284279413808818E9	1.0205781207294035E10	3.0379004290329785E9	9.952361860026722E8	3.7	1.8	Cost not reduced at windowLength+dwindowLength.
131	165	4	1	2.3039352739499638E10	1.6925956976322952E10	2.7778929392198844E9	3.335502823956803E9	1.0578723110201845E10	2.525357217472622E9	1.0107584315020615E9	3.6	1.7	Cost not reduced at windowHeight-dwindowHeight.
132	165	5	1	2.295308685282088E10	1.614632441545633E10	3.54904882830112E9	3.257713609063432E9	1.0091452759660206E10	3.2264080257282906E9	9.87185942140434E8	3.6	1.9	Cost not reduced at windowHeight+dwindowHeight.
130	165	6	1	2.29504597331026E10	1.6515797628869003E10	3.14150149982085E9	3.2931606044127445E9	1.0322373518043127E10	2.855910454382591E9	9.979274558826499E8	3.6	1.8	Global search reduced cost.
132	166	1	1	2.2965767892661674E10	1.671168623957107E10	2.951524133243039E9	3.3025575198475647E9	1.0444803899731918E10	2.683203757493672E9	1.0007750060144136E9	3.5	1.8	Exploration base, Delta = 1.0.
133	166	2	1	2.3007320164450214E10	1.6920657856609571E10	2.774211850120267E9	3.3124504577203736E9	1.0575411160380981E10	2.522010772836606E9	1.0037728659758708E9	3.4	1.8	Cost not reduced at windowLength-dwindowLength.
133	166	3	1	2.29504597331026E10	1.6515797628869003E10	3.14150149982085E9	3.2931606044127445E9	1.0322373518043127E10	2.855910454382591E9	9.979274558826499E8	3.6	1.8	Cost reduced     at windowLength+dwindowLength.
133	166	4	1	2.3039352739499638E10	1.6925956976322952E10	2.7778929392198844E9	3.335502823956803E9	1.0578723110201845E10	2.525357217472622E9	1.0107584315020615E9	3.6	1.7	Cost not reduced at windowHeight-dwindowHeight.
133	166	5	1	2.295308685282088E10	1.614632441545633E10	3.54904882830112E9	3.257713609063432E9	1.0091452759660206E10	3.2264080257282906E9	9.87185942140434E8	3.6	1.9	Cost not reduced at windowHeight+dwindowHeight.
133	166	6	1	2.295521981741555E10	1.6329249931670456E10	3.3416904719362764E9	3.284279413808818E9	1.0205781207294035E10	3.0379004290329785E9	9.952361860026722E8	3.7	1.8	Cost not reduced at windowLength+dwindowLength.
133	166	7	1	2.2965767892661674E10	1.671168623957107E10	2.951524133243039E9	3.3025575198475647E9	1.0444803899731918E10	2.683203757493672E9	1.0007750060144136E9	3.5	1.8	Cost not reduced at windowLength-dwindowLength.
133	166	8	1	2.3039352739499638E10	1.6925956976322952E10	2.7778929392198844E9	3.335502823956803E9	1.0578723110201845E10	2.525357217472622E9	1.0107584315020615E9	3.6	1.7	Cost not reduced at windowHeight-dwindowHeight.
133	166	9	1	2.295308685282088E10	1.614632441545633E10	3.54904882830112E9	3.257713609063432E9	1.0091452759660206E10	3.2264080257282906E9	9.87185942140434E8	3.6	1.9	Cost not reduced at windowHeight+dwindowHeight.
130	166	10	1	2.29504597331026E10	1.6515797628869003E10	3.14150149982085E9	3.2931606044127445E9	1.0322373518043127E10	2.855910454382591E9	9.979274558826499E8	3.6	1.8	Iteration step did not reduce cost. Reduce step size to '0.5'.
133	167	1	1	2.29504597331026E10	1.6515797628869003E10	3.14150149982085E9	3.2931606044127445E9	1.0322373518043127E10	2.855910454382591E9	9.979274558826499E8	3.6	1.8	Exploration base, Delta = 0.5.
134	167	2	1	2.295053381947958E10	1.6421276970802444E10	3.2405991643906183E9	3.2886576842865195E9	1.0263298106751528E10	2.9459992403551073E9	9.965629346322787E8	3.65	1.8	Cost not reduced at windowLength+dwindowLength.
135	167	3	1	2.295510770639455E10	1.6612435247433796E10	3.0448749964947495E9	3.2977974624660044E9	1.0382772029646122E10	2.7680681786315904E9	9.993325643836378E8	3.55	1.8	Cost not reduced at windowLength-dwindowLength.
136	167	4	1	2.29814641094468E10	1.671460255278963E10	2.953417551382371E9	3.3134440052747974E9	1.0446626595493519E10	2.684925046711246E9	1.004073940992363E9	3.6	1.75	Cost not reduced at windowHeight-dwindowHeight.
137	167	5	1	2.2939968039901646E10	1.6325788530114725E10	3.3396669499063983E9	3.274512559880525E9	1.0203617831321703E10	3.036060863551271E9	9.922765332971289E8	3.6	1.85	Cost reduced     at windowHeight+dwindowHeight.
137	167	6	1	2.2939968039901646E10	1.6325788530114725E10	3.3396669499063983E9	3.274512559880525E9	1.0203617831321703E10	3.036060863551271E9	9.922765332971289E8	3.6	1.85	Global search reduced cost.
137	168	1	1	2.295308685282088E10	1.614632441545633E10	3.54904882830112E9	3.257713609063432E9	1.0091452759660206E10	3.2264080257282906E9	9.87185942140434E8	3.6	1.9	Exploration base, Delta = 0.5.
138	168	2	1	2.2975404001461998E10	1.6057636196521631E10	3.6640893101445107E9	3.253678494795855E9	1.003602262282602E10	3.330990281949555E9	9.859631802411683E8	3.65	1.9	Cost not reduced at windowLength+dwindowLength.
139	168	3	1	2.2935386119089603E10	1.6237647280319603E10	3.4358819306365123E9	3.2618569081334887E9	1.014852955019975E10	3.1235290278513746E9	9.884414873131784E8	3.55	1.9	Cost reduced     at windowLength-dwindowLength.
140	168	4	1	2.2958239207924683E10	1.6065409295081383E10	3.6466481615732746E9	3.246181751270028E9	1.0040880809425863E10	3.31513469233934E9	9.836914397787964E8	3.55	1.95	Cost not reduced at windowHeight+dwindowHeight.
141	168	5	1	2.293567037790895E10	1.6420905312499022E10	3.2358482053419175E9	3.278916860068012E9	1.0263065820311888E10	2.9416801866744704E9	9.936111697175795E8	3.55	1.85	Cost not reduced at windowHeight-dwindowHeight.
139	168	6	1	2.2935386119089603E10	1.6237647280319603E10	3.4358819306365123E9	3.2618569081334887E9	1.014852955019975E10	3.1235290278513746E9	9.884414873131784E8	3.55	1.9	Global search reduced cost.
142	169	1	1	2.2936042881654984E10	1.6156955477865824E10	3.5288355727525444E9	3.250251831036612E9	1.009809717366614E10	3.208032338865949E9	9.84924797283822E8	3.5	1.95	Exploration base, Delta = 0.5.
143	169	2	1	2.2919391277739365E10	1.625147779904014E10	3.4134474873537126E9	3.254465991345512E9	1.0157173624400087E10	3.1031340794124656E9	9.862018155592461E8	3.45	1.95	Cost reduced     at windowLength-dwindowLength.
144	169	3	1	2.2940214385362724E10	1.6082697101450815E10	3.6175301116468906E9	3.2399871722650204E9	1.005168568840676E10	3.2886637378608093E9	9.818142946257638E8	3.45	2.0	Cost not reduced at windowHeight+dwindowHeight.
145	169	4	1	2.2921165922889957E10	1.6430615492299057E10	3.21998254353053E9	3.270567887060372E9	1.026913468268691E10	2.927256857755027E9	9.910811778970824E8	3.45	1.9	Cost not reduced at windowHeight-dwindowHeight.
143	169	5	1	2.2919391277739365E10	1.625147779904014E10	3.4134474873537126E9	3.254465991345512E9	1.0157173624400087E10	3.1031340794124656E9	9.862018155592461E8	3.45	1.95	Global search reduced cost.
146	170	1	1	2.2903530159347725E10	1.6275573210238697E10	3.379599606696007E9	3.248357342413022E9	1.0172233256399185E10	3.0723632788145514E9	9.843507098221279E8	3.35	2.0	Exploration base, Delta = 0.5.
147	170	2	1	2.2896260960781013E10	1.637718205160849E10	3.266311770859445E9	3.2527671383130784E9	1.0235738782255306E10	2.96937433714495E9	9.856870116100239E8	3.3	2.0	Cost reduced     at windowLength-dwindowLength.
148	170	3	1	2.2900231531144604E10	1.6207923413197044E10	3.4539061149942284E9	3.2384020029533296E9	1.0129952133248152E10	3.139914649994753E9	9.813339402888879E8	3.3	2.05	Cost not reduced at windowHeight+dwindowHeight.
149	170	4	1	2.2909500891599613E10	1.6554271903691437E10	3.087231676204155E9	3.267997311704023E9	1.0346419939807148E10	2.806574251094686E9	9.903022156678858E8	3.3	1.95	Cost not reduced at windowHeight-dwindowHeight.
147	170	5	1	2.2896260960781013E10	1.637718205160849E10	3.266311770859445E9	3.2527671383130784E9	1.0235738782255306E10	2.96937433714495E9	9.856870116100239E8	3.3	2.0	Global search reduced cost.
150	171	1	1	2.288454809078247E10	1.6523773376436766E10	3.1081126232006855E9	3.2526620911450205E9	1.0327358360272978E10	2.825556930182441E9	9.856551791348547E8	3.15	2.05	Exploration base, Delta = 0.5.
151	171	2	1	2.2892511085336597E10	1.6635679704415741E10	2.99928248852206E9	3.257548892398797E9	1.0397299815259838E10	2.7266204441109633E9	9.871360279996356E8	3.1	2.05	Cost not reduced at windowLength-dwindowLength.
152	171	3	1	2.288347256032101E10	1.6415457287176054E10	3.2200325736275644E9	3.24798269951739E9	1.0259660804485033E10	2.927302339661422E9	9.842371816719364E8	3.2	2.05	Cost reduced     at windowLength+dwindowLength.
153	171	4	1	2.2882090371351635E10	1.6248597071690393E10	3.3989764213940997E9	3.2345168782671447E9	1.0155373169806496E10	3.0899785649037266E9	9.801566297779226E8	3.2	2.1	Cost reduced     at windowHeight+dwindowHeight.
153	171	5	1	2.2882090371351635E10	1.6248597071690393E10	3.3989764213940997E9	3.2345168782671447E9	1.0155373169806496E10	3.0899785649037266E9	9.801566297779226E8	3.2	2.1	Global search reduced cost.
154	172	1	1	2.2876697973867516E10	1.614445830309936E10	3.513212505940285E9	3.219027164827868E9	1.00902864394371E10	3.1938295508548045E9	9.754627772205662E8	3.1	2.2	Exploration base, Delta = 0.5.
155	172	2	1	2.290048585073718E10	1.6039968560671146E10	3.645731860989668E9	3.214785429076366E9	1.0024980350419466E10	3.314301691808789E9	9.74177402750414E8	3.15	2.2	Cost not reduced at windowLength+dwindowLength.
156	172	3	1	2.285920752728186E10	1.6252031061264282E10	3.3837511562282057E9	3.2234253097893696E9	1.0157519413290176E10	3.076137414752914E9	9.767955484210211E8	3.05	2.2	Cost reduced     at windowLength-dwindowLength.
157	172	4	1	2.2861095754118732E10	1.6411596546609825E10	3.213846894584702E9	3.2356523129242043E9	1.025724784163114E10	2.9216789950770016E9	9.805007008861226E8	3.05	2.15	Cost not reduced at windowHeight-dwindowHeight.
156	172	5	1	2.285920752728186E10	1.6252031061264282E10	3.3837511562282057E9	3.2234253097893696E9	1.0157519413290176E10	3.076137414752914E9	9.767955484210211E8	3.05	2.2	Global search reduced cost.
158	173	1	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Cost reduced     at windowLength-dwindowLength.
159	173	2	1	2.2862741098323624E10	1.6525557102485603E10	3.0967634553959723E9	3.240420540442045E9	1.0328473189053501E10	2.815239504905429E9	9.819456183157713E8	3.0	2.15	Cost not reduced at windowHeight-dwindowHeight.
158	173	3	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Local search reduced cost.
160	174	1	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Exploration base, Delta = 0.5.
161	174	2	1	2.2857308366111877E10	1.659919300330517E10	3.020847435871616E9	3.237267926935093E9	1.0374495627065731E10	2.746224941701469E9	9.809902808894222E8	2.9	2.2	Cost not reduced at windowLength-dwindowLength.
161	174	3	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Cost not reduced at windowLength+dwindowLength.
162	174	4	1	2.287218840590843E10	1.664385070087855E10	2.9832571044868436E9	3.245080600543034E9	1.0402406688049093E10	2.7120519131698575E9	9.833577577403134E8	2.95	2.15	Cost not reduced at windowHeight-dwindowHeight.
160	174	5	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Global search reduced cost.
162	175	1	1	2.2857308366111877E10	1.659919300330517E10	3.020847435871616E9	3.237267926935093E9	1.0374495627065731E10	2.746224941701469E9	9.809902808894222E8	2.9	2.2	Exploration base, Delta = 0.5.
163	175	2	1	2.287419541321174E10	1.6723350665258844E10	2.908428111229549E9	3.242416636723345E9	1.0452094165786777E10	2.644025555663226E9	9.825504959767712E8	2.85	2.2	Cost not reduced at windowLength-dwindowLength.
163	175	3	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Cost reduced     at windowLength+dwindowLength.
163	175	4	1	2.287218840590843E10	1.664385070087855E10	2.9832571044868436E9	3.245080600543034E9	1.0402406688049093E10	2.7120519131698575E9	9.833577577403134E8	2.95	2.15	Cost not reduced at windowHeight-dwindowHeight.
163	175	5	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Cost not reduced at windowLength+dwindowLength.
163	175	6	1	2.2857308366111877E10	1.659919300330517E10	3.020847435871616E9	3.237267926935093E9	1.0374495627065731E10	2.746224941701469E9	9.809902808894222E8	2.9	2.2	Cost not reduced at windowLength-dwindowLength.
163	175	7	1	2.287218840590843E10	1.664385070087855E10	2.9832571044868436E9	3.245080600543034E9	1.0402406688049093E10	2.7120519131698575E9	9.833577577403134E8	2.95	2.15	Cost not reduced at windowHeight-dwindowHeight.
160	175	8	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Iteration step did not reduce cost. Reduce step size to '0.25'.
163	176	1	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Exploration base, Delta = 0.25.
164	176	2	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Cost reduced     at windowLength+dwindowLength.
165	176	3	1	2.2856579326259796E10	1.6502148520738655E10	3.118186761846603E9	3.2362440436745377E9	1.0313842825461658E10	2.834715238042366E9	9.806800132347084E8	2.975	2.175	Cost not reduced at windowHeight-dwindowHeight.
164	176	4	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Global search reduced cost.
165	177	1	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Exploration base, Delta = 0.25.
166	177	2	1	2.2854498679346333E10	1.630780330359089E10	3.321013935339378E9	3.225681440416066E9	1.0192377064744307E10	3.0191035775812526E9	9.77479224368505E8	3.025	2.2	Cost not reduced at windowLength+dwindowLength.
166	177	3	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Cost reduced     at windowLength-dwindowLength.
166	177	4	1	2.2856579326259796E10	1.6502148520738655E10	3.118186761846603E9	3.2362440436745377E9	1.0313842825461658E10	2.834715238042366E9	9.806800132347084E8	2.975	2.175	Cost not reduced at windowHeight-dwindowHeight.
166	177	5	1	2.2850998272183704E10	1.6480287124451645E10	3.1383414681972337E9	3.232369679534826E9	1.0300179452782278E10	2.853037698361121E9	9.795059634954017E8	2.95	2.2	Cost not reduced at windowLength-dwindowLength.
166	177	6	1	2.2851465348073296E10	1.6364201823278822E10	3.259288992989842E9	3.2279745318046308E9	1.0227626139549263E10	2.9629899936271286E9	9.781741005468578E8	3.0	2.2	Cost not reduced at windowLength+dwindowLength.
166	177	7	1	2.2856579326259796E10	1.6502148520738655E10	3.118186761846603E9	3.2362440436745377E9	1.0313842825461658E10	2.834715238042366E9	9.806800132347084E8	2.975	2.175	Cost not reduced at windowHeight-dwindowHeight.
164	177	8	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Iteration step did not reduce cost. Reduce step size to '0.125'.
166	178	1	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Exploration base, Delta = 0.125.
167	178	2	1	2.2850626797411407E10	1.6451407572875559E10	3.1680421665527577E9	3.2311770579830894E9	1.0282129733047224E10	2.8800383332297797E9	9.791445630251787E8	2.9625	2.2	Cost not reduced at windowLength-dwindowLength.
168	178	3	1	2.2850560497590534E10	1.6392931738261185E10	3.228805756265402E9	3.2288230030639453E9	1.024558233641324E10	2.9352779602412744E9	9.784312130496805E8	2.9875	2.2	Cost not reduced at windowLength+dwindowLength.
169	178	4	1	2.2853001312411884E10	1.646209301135474E10	3.158102730722462E9	3.232805570334683E9	1.0288808132096712E10	2.8710024824749656E9	9.796380516165706E8	2.975	2.1875	Cost not reduced at windowHeight-dwindowHeight.
169	178	5	1	2.2850626797411407E10	1.6451407572875559E10	3.1680421665527577E9	3.2311770579830894E9	1.0282129733047224E10	2.8800383332297797E9	9.791445630251787E8	2.9625	2.2	Cost not reduced at windowLength-dwindowLength.
169	178	6	1	2.2850560497590534E10	1.6392931738261185E10	3.228805756265402E9	3.2288230030639453E9	1.024558233641324E10	2.9352779602412744E9	9.784312130496805E8	2.9875	2.2	Cost not reduced at windowLength+dwindowLength.
169	178	7	1	2.2853001312411884E10	1.646209301135474E10	3.158102730722462E9	3.232805570334683E9	1.0288808132096712E10	2.8710024824749656E9	9.796380516165706E8	2.975	2.1875	Cost not reduced at windowHeight-dwindowHeight.
164	178	8	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Iteration step did not reduce cost. Reduce step size to '0.0625'.
169	179	1	1	2.2850346501676033E10	1.6421873528547102E10	3.19847872340881E9	3.2299942497201185E9	1.0263670955341938E10	2.9077079303716455E9	9.787861362788239E8	2.975	2.2	Exploration base, Delta = 0.0625.
170	179	2	1	2.2850277721075294E10	1.643633744014217E10	3.183356709465246E9	3.230583571467879E9	1.0272710900088856E10	2.8939606449684052E9	9.789647186266301E8	2.96875	2.2	Cost reduced     at windowLength-dwindowLength.
171	179	3	1	2.2851756665418396E10	1.6456515609093082E10	3.1632555172038994E9	3.2319855391214147E9	1.0285322255683176E10	2.8756868338217263E9	9.793895573095196E8	2.96875	2.19375	Cost not reduced at windowHeight-dwindowHeight.
170	179	4	1	2.2850277721075294E10	1.643633744014217E10	3.183356709465246E9	3.230583571467879E9	1.0272710900088856E10	2.8939606449684052E9	9.789647186266301E8	2.96875	2.2	Global search reduced cost.
171	180	1	1	2.2850626797411407E10	1.6451407572875559E10	3.1680421665527577E9	3.2311770579830894E9	1.0282129733047224E10	2.8800383332297797E9	9.791445630251787E8	2.9625	2.2	Exploration base, Delta = 0.0625.
172	180	2	1	2.2850710707729473E10	1.6465764841186485E10	3.153174009001385E9	3.231771857541602E9	1.0291103025741552E10	2.8665218263648953E9	9.793248053156371E8	2.95625	2.2	Cost not reduced at windowLength-dwindowLength.
