GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:16:30 GMT 2018

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	beamS
99	133	1	1	2.2758896454955246E10	1.549057766769879E10	3.755509278264358E9	3.512809508992099E9	9.681611042311743E9	3.414099343876689E9	1.0644877299976058E9	5.0	1.2	30.0	Generation 9.
99	134	1	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 9.
99	135	1	1	2.2704747094466465E10	1.6057141739115204E10	3.1764766897982635E9	3.471128665552998E9	1.0035713586947002E10	2.8877060816347847E9	1.0518571713796964E9	3.9	1.4	20.0	Generation 9.
99	136	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 9.
99	137	1	1	2.271297398311041E10	1.5377041713128212E10	3.87470557771454E9	3.461226692267657E9	9.610651070705132E9	3.522459616104127E9	1.0488565734144415E9	4.7	1.3	25.0	Generation 9.
99	138	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 9.
100	139	1	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Generation 9.
100	140	1	1	2.283166127549056E10	1.6136918084827E10	3.131798062164043E9	3.562945128499515E9	1.0085573803016874E10	2.847089147421857E9	1.0796803419695501E9	4.5	1.2	25.0	Generation 9.
100	141	1	1	2.2832908269482758E10	1.5452248714399208E10	3.820407571904925E9	3.5602519831786213E9	9.657655446499504E9	3.4730977926408405E9	1.078864237326855E9	5.5	1.1	35.0	Generation 9.
100	142	1	1	2.275472484468126E10	1.6062163249740509E10	3.182188506066965E9	3.510373088873789E9	1.0038852031087818E10	2.892898641879059E9	1.0637494208708452E9	4.2	1.3	30.0	Generation 9.
100	143	1	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 9.
101	144	1	1	2.3068801761961224E10	1.6389825811691935E10	2.9655961704763384E9	3.7133797797929482E9	1.0243641132307459E10	2.695996518614853E9	1.125266599937257E9	5.2	1.0	45.0	Generation 9.
102	145	1	1	2.273754618427054E10	1.52549018822537E10	4.030146853461478E9	3.452497448555357E9	9.534313676408562E9	3.6637698667831616E9	1.0462113480470779E9	4.8	1.3	25.0	Generation 10.
103	146	1	1	2.2652570603117996E10	1.5457522675341843E10	3.7650201943276057E9	3.4300277334485464E9	9.660951672088652E9	3.422745631206914E9	1.0394023434692565E9	4.3	1.4	25.0	Generation 10.
103	147	1	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 10.
104	148	1	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Generation 10.
105	149	1	1	2.271297398311041E10	1.5377041713128212E10	3.87470557771454E9	3.461226692267657E9	9.610651070705132E9	3.522459616104127E9	1.0488565734144415E9	4.7	1.3	30.0	Generation 10.
105	150	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
103	151	1	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 10.
105	152	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
105	153	1	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
106	154	1	1	2.2722678586127037E10	1.591378256147999E10	3.309277415126284E9	3.499618609520762E9	9.946114100924994E9	3.0084340137511673E9	1.0604904877335643E9	4.3	1.3	25.0	Generation 10.
106	155	1	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Generation 10.
106	156	1	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 10.
106	157	1	1	2.2771572001377327E10	1.5374578594824015E10	3.8930195530875063E9	3.5039738534658055E9	9.609111621765009E9	3.5391086846250052E9	1.0618102586260017E9	5.1	1.2	30.0	Generation 10.
107	158	1	1	2.2722678586127037E10	1.591378256147999E10	3.309277415126284E9	3.499618609520762E9	9.946114100924994E9	3.0084340137511673E9	1.0604904877335643E9	4.3	1.3	30.0	Generation 10.
107	159	1	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 10.
108	160	1	1	2.2874601856952477E10	1.602897166901714E10	3.2354059940267577E9	3.6102241939085827E9	1.0018107293135712E10	2.9412781763879614E9	1.0940073314874494E9	5.0	1.1	40.0	Generation 10.
106	155	2	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Minimum point.
106	161	1	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Minimum point of initialization.
108	162	1	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Initial point.
108	163	1	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
108	163	2	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
109	163	3	1	2.338358412249707E10	1.6102556909890938E10	3.876150853343759E9	3.404876359262373E9	1.0064098068681835E10	3.5237735030397806E9	1.0317807149279919E9	4.1	1.5	20.0	Cost not reduced at windowWidth+dwindowWidth.
109	163	4	1	2.2796880512229828E10	1.6215492052567265E10	3.0597115111891294E9	3.521676948473436E9	1.013468253285454E10	2.7815559192628446E9	1.0671748328707383E9	4.1	1.3	20.0	Cost not reduced at windowWidth-dwindowWidth.
110	163	5	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	25.0	Cost not reduced at beamS+dbeamS.
111	163	6	1	2.749333095808606E10	2.055710743608285E10	3.3407614364912744E9	3.5954620855119343E9	1.2848192147551783E10	3.037055851355704E9	1.0895339653066468E9	4.1	1.4	15.0	Cost not reduced at beamS-dbeamS.
111	163	7	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
111	163	8	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
111	163	9	1	2.338358412249707E10	1.6102556909890938E10	3.876150853343759E9	3.404876359262373E9	1.0064098068681835E10	3.5237735030397806E9	1.0317807149279919E9	4.1	1.5	20.0	Cost not reduced at windowWidth+dwindowWidth.
111	163	10	1	2.2796880512229828E10	1.6215492052567265E10	3.0597115111891294E9	3.521676948473436E9	1.013468253285454E10	2.7815559192628446E9	1.0671748328707383E9	4.1	1.3	20.0	Cost not reduced at windowWidth-dwindowWidth.
111	163	11	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	25.0	Cost not reduced at beamS+dbeamS.
111	163	12	1	2.749333095808606E10	2.055710743608285E10	3.3407614364912744E9	3.5954620855119343E9	1.2848192147551783E10	3.037055851355704E9	1.0895339653066468E9	4.1	1.4	15.0	Cost not reduced at beamS-dbeamS.
108	163	13	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.5'.
111	164	1	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Exploration base, Delta = 0.5.
112	164	2	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Cost reduced     at windowLength+dwindowLength.
113	164	3	1	2.2901119880481117E10	1.5727214031024384E10	3.755536643806581E9	3.418369205650154E9	9.82950876939024E9	3.414124221642346E9	1.0358694562576225E9	4.15	1.45	20.0	Cost not reduced at windowWidth+dwindowWidth.
114	164	4	1	2.26944743453401E10	1.5897126169995035E10	3.3188855608619027E9	3.4784626144831624E9	9.935703856246897E9	3.0171686916926384E9	1.054079580146413E9	4.15	1.35	20.0	Cost not reduced at windowWidth-dwindowWidth.
115	164	5	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	22.5	Cost not reduced at beamS+dbeamS.
116	164	6	1	2.445298376688769E10	1.748671993230392E10	3.4873135723704376E9	3.478950262213333E9	1.0929199957689949E10	3.1702850657913065E9	1.0542273521858586E9	4.15	1.4	17.5	Cost not reduced at beamS-dbeamS.
112	164	7	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Global search reduced cost.
116	165	1	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Exploration base, Delta = 0.5.
117	165	2	1	2.2695068862305416E10	1.5575203671583954E10	3.684127998406708E9	3.4357371923147545E9	9.734502294739971E9	3.349207271278825E9	1.0411324825196227E9	4.25	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
117	165	3	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Cost reduced     at windowLength-dwindowLength.
117	165	4	1	2.2901119880481117E10	1.5727214031024384E10	3.755536643806581E9	3.418369205650154E9	9.82950876939024E9	3.414124221642346E9	1.0358694562576225E9	4.15	1.45	20.0	Cost not reduced at windowWidth+dwindowWidth.
117	165	5	1	2.26944743453401E10	1.5897126169995035E10	3.3188855608619027E9	3.4784626144831624E9	9.935703856246897E9	3.0171686916926384E9	1.054079580146413E9	4.15	1.35	20.0	Cost not reduced at windowWidth-dwindowWidth.
117	165	6	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	22.5	Cost not reduced at beamS+dbeamS.
117	165	7	1	2.445298376688769E10	1.748671993230392E10	3.4873135723704376E9	3.478950262213333E9	1.0929199957689949E10	3.1702850657913065E9	1.0542273521858586E9	4.15	1.4	17.5	Cost not reduced at beamS-dbeamS.
117	165	8	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
117	165	9	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
117	165	10	1	2.2901119880481117E10	1.5727214031024384E10	3.755536643806581E9	3.418369205650154E9	9.82950876939024E9	3.414124221642346E9	1.0358694562576225E9	4.15	1.45	20.0	Cost not reduced at windowWidth+dwindowWidth.
117	165	11	1	2.26944743453401E10	1.5897126169995035E10	3.3188855608619027E9	3.4784626144831624E9	9.935703856246897E9	3.0171686916926384E9	1.054079580146413E9	4.15	1.35	20.0	Cost not reduced at windowWidth-dwindowWidth.
117	165	12	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	22.5	Cost not reduced at beamS+dbeamS.
117	165	13	1	2.445298376688769E10	1.748671993230392E10	3.4873135723704376E9	3.478950262213333E9	1.0929199957689949E10	3.1702850657913065E9	1.0542273521858586E9	4.15	1.4	17.5	Cost not reduced at beamS-dbeamS.
112	165	14	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.25'.
117	166	1	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Exploration base, Delta = 0.25.
118	166	2	1	2.2648524690983322E10	1.5707424504595055E10	3.4940184739880686E9	3.4470817124002013E9	9.817140315371908E9	3.176380430898244E9	1.0445702158788489E9	4.125	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
119	166	3	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Cost reduced     at windowLength+dwindowLength.
120	166	4	1	2.283622554434026E10	1.5723566100663599E10	3.681747213138541E9	3.4309122305381207E9	9.82722881291475E9	3.347042921035037E9	1.0396703728903396E9	4.175	1.425	20.0	Cost not reduced at windowWidth+dwindowWidth.
121	166	5	1	2.2663268907667812E10	1.5745471797728788E10	3.4592398813172145E9	3.458557228621812E9	9.840919873580492E9	3.144763528470195E9	1.0480476450369128E9	4.175	1.375	20.0	Cost not reduced at windowWidth-dwindowWidth.
122	166	6	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	21.25	Cost not reduced at beamS+dbeamS.
123	166	7	1	2.305924186533351E10	1.6046867264744957E10	3.5628440274853044E9	3.449530573103247E9	1.0029292040465597E10	3.238949115895731E9	1.045312294879772E9	4.175	1.4	18.75	Cost not reduced at beamS-dbeamS.
119	166	8	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Global search reduced cost.
123	167	1	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Exploration base, Delta = 0.25.
124	167	2	1	2.2693364773731747E10	1.5610420736614693E10	3.644788293626803E9	3.4381557434902496E9	9.756512960384182E9	3.3134439032970934E9	1.0418653768152273E9	4.225	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
124	167	3	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Cost reduced     at windowLength-dwindowLength.
124	167	4	1	2.283622554434026E10	1.5723566100663599E10	3.681747213138541E9	3.4309122305381207E9	9.82722881291475E9	3.347042921035037E9	1.0396703728903396E9	4.175	1.425	20.0	Cost not reduced at windowWidth+dwindowWidth.
124	167	5	1	2.2663268907667812E10	1.5745471797728788E10	3.4592398813172145E9	3.458557228621812E9	9.840919873580492E9	3.144763528470195E9	1.0480476450369128E9	4.175	1.375	20.0	Cost not reduced at windowWidth-dwindowWidth.
124	167	6	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	21.25	Cost not reduced at beamS+dbeamS.
124	167	7	1	2.305924186533351E10	1.6046867264744957E10	3.5628440274853044E9	3.449530573103247E9	1.0029292040465597E10	3.238949115895731E9	1.045312294879772E9	4.175	1.4	18.75	Cost not reduced at beamS-dbeamS.
124	167	8	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
124	167	9	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
124	167	10	1	2.283622554434026E10	1.5723566100663599E10	3.681747213138541E9	3.4309122305381207E9	9.82722881291475E9	3.347042921035037E9	1.0396703728903396E9	4.175	1.425	20.0	Cost not reduced at windowWidth+dwindowWidth.
124	167	11	1	2.2663268907667812E10	1.5745471797728788E10	3.4592398813172145E9	3.458557228621812E9	9.840919873580492E9	3.144763528470195E9	1.0480476450369128E9	4.175	1.375	20.0	Cost not reduced at windowWidth-dwindowWidth.
124	167	12	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	21.25	Cost not reduced at beamS+dbeamS.
124	167	13	1	2.305924186533351E10	1.6046867264744957E10	3.5628440274853044E9	3.449530573103247E9	1.0029292040465597E10	3.238949115895731E9	1.045312294879772E9	4.175	1.4	18.75	Cost not reduced at beamS-dbeamS.
119	167	14	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.125'.
124	168	1	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Exploration base, Delta = 0.125.
125	168	2	1	2.2646585928069466E10	1.5652348411237167E10	3.5509274099473696E9	3.4433101068849306E9	9.78271775702323E9	3.228115827224881E9	1.0434273051166457E9	4.1625	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
126	168	3	1	2.269189504904684E10	1.5663613879177094E10	3.586452177347055E9	3.441828992522694E9	9.789758674485683E9	3.260411070315504E9	1.0429784825826346E9	4.1875	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
127	168	4	1	2.2686831245418507E10	1.5627499582847239E10	3.6242151000216618E9	3.435116562549605E9	9.767187239279524E9	3.2947410000196924E9	1.0409444128938197E9	4.175	1.4125	20.0	Cost not reduced at windowWidth+dwindowWidth.
128	168	5	1	2.2653806562151253E10	1.5689378500719568E10	3.5142156786321197E9	3.4502123827995663E9	9.80586156294973E9	3.1947415260291996E9	1.0455189038786565E9	4.175	1.3875	20.0	Cost not reduced at windowWidth-dwindowWidth.
129	168	6	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.625	Cost not reduced at beamS+dbeamS.
130	168	7	1	2.290284141931774E10	1.5888409850725235E10	3.5672960726091185E9	3.447135495983389E9	9.930256156703272E9	3.242996429644653E9	1.0445865139343603E9	4.175	1.4	19.375	Cost not reduced at beamS-dbeamS.
130	168	8	1	2.2646585928069466E10	1.5652348411237167E10	3.5509274099473696E9	3.4433101068849306E9	9.78271775702323E9	3.228115827224881E9	1.0434273051166457E9	4.1625	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
130	168	9	1	2.269189504904684E10	1.5663613879177094E10	3.586452177347055E9	3.441828992522694E9	9.789758674485683E9	3.260411070315504E9	1.0429784825826346E9	4.1875	1.4	20.0	Cost not reduced at windowLength+dwindowLength.
130	168	10	1	2.2686831245418507E10	1.5627499582847239E10	3.6242151000216618E9	3.435116562549605E9	9.767187239279524E9	3.2947410000196924E9	1.0409444128938197E9	4.175	1.4125	20.0	Cost not reduced at windowWidth+dwindowWidth.
130	168	11	1	2.2653806562151253E10	1.5689378500719568E10	3.5142156786321197E9	3.4502123827995663E9	9.80586156294973E9	3.1947415260291996E9	1.0455189038786565E9	4.175	1.3875	20.0	Cost not reduced at windowWidth-dwindowWidth.
130	168	12	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.625	Cost not reduced at beamS+dbeamS.
130	168	13	1	2.290284141931774E10	1.5888409850725235E10	3.5672960726091185E9	3.447135495983389E9	9.930256156703272E9	3.242996429644653E9	1.0445865139343603E9	4.175	1.4	19.375	Cost not reduced at beamS-dbeamS.
119	168	14	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.0625'.
130	169	1	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Exploration base, Delta = 0.0625.
131	169	2	1	2.2646325619330193E10	1.5643232562120178E10	3.5604056546363726E9	3.442687402573642E9	9.777020351325111E9	3.236732413305793E9	1.0432386068404975E9	4.16875	1.4	20.0	Cost not reduced at windowLength-dwindowLength.
132	169	3	1	2.2646139150696354E10	1.5625214956145506E10	3.579475966493209E9	3.44144822805764E9	9.76575934759094E9	3.2540690604483714E9	1.0428630994114062E9	4.18125	1.4	20.0	Cost reduced     at windowLength+dwindowLength.
133	169	4	1	2.26890074310688E10	1.5645314568326965E10	3.6052398379401927E9	3.4384530248016424E9	9.778321605204353E9	3.277490761763811E9	1.0419554620611038E9	4.18125	1.40625	20.0	Cost not reduced at windowWidth+dwindowWidth.
134	169	5	1	2.26495147800641E10	1.565263076151837E10	3.551400150467209E9	3.4454838680785184E9	9.78289422594898E9	3.228545591333826E9	1.0440860206298541E9	4.18125	1.39375	20.0	Cost not reduced at windowWidth-dwindowWidth.
135	169	6	1	2.2646139150696354E10	1.5625214956145506E10	3.579475966493209E9	3.44144822805764E9	9.76575934759094E9	3.2540690604483714E9	1.0428630994114062E9	4.18125	1.4	20.3125	Cost not reduced at beamS+dbeamS.
136	169	7	1	2.2757608452408997E10	1.5737969348225452E10	3.5771390910265293E9	3.442500013157015E9	9.836230842640907E9	3.2519446282059355E9	1.0431818221687925E9	4.18125	1.4	19.6875	Cost not reduced at beamS-dbeamS.
132	169	8	1	2.2646139150696354E10	1.5625214956145506E10	3.579475966493209E9	3.44144822805764E9	9.76575934759094E9	3.2540690604483714E9	1.0428630994114062E9	4.18125	1.4	20.0	Global search reduced cost.
136	170	1	1	2.269189504904684E10	1.5663613879177094E10	3.586452177347055E9	3.441828992522694E9	9.789758674485683E9	3.260411070315504E9	1.0429784825826346E9	4.1875	1.4	20.0	Exploration base, Delta = 0.0625.
137	170	2	1	2.2691799253059914E10	1.5654569975097553E10	3.596016569203254E9	3.441212708759105E9	9.78410623443597E9	3.2691059720029583E9	1.0427917299270016E9	4.19375	1.4	20.0	Cost reduced     at windowLength+dwindowLength.
138	170	3	1	2.2689735931709373E10	1.5627626248472986E10	3.624885388270371E9	3.4372242949660163E9	9.767266405295616E9	3.2953503529730644E9	1.0415831196866716E9	4.19375	1.40625	20.0	Cost reduced     at windowWidth+dwindowWidth.
139	170	4	1	2.2643506325330788E10	1.5579992037218687E10	3.6272688999322224E9	3.436245388179879E9	9.737495023261679E9	3.2975171817565656E9	1.0412864812666302E9	4.19375	1.40625	20.3125	Cost reduced     at beamS+dbeamS.
139	170	5	1	2.2643506325330788E10	1.5579992037218687E10	3.6272688999322224E9	3.436245388179879E9	9.737495023261679E9	3.2975171817565656E9	1.0412864812666302E9	4.19375	1.40625	20.3125	Global search reduced cost.
140	171	1	1	2.264248920702374E10	1.5535298274690144E10	3.67607430990668E9	3.431116622426915E9	9.70956142168134E9	3.3418857362788E9	1.039732309826338E9	4.20625	1.4125	20.625	Exploration base, Delta = 0.0625.
141	171	2	1	2.2642933672146473E10	1.5526386598292423E10	3.6860318409325466E9	3.4305152329215045E9	9.703991623932764E9	3.3509380372114058E9	1.0395500705822742E9	4.2125	1.4125	20.625	Cost not reduced at windowLength+dwindowLength.
142	171	3	1	2.2642277608171608E10	1.5544206358893412E10	3.6663527830425153E9	3.4317184662356806E9	9.715128974308382E9	3.3330479845841045E9	1.0399146867380852E9	4.2	1.4125	20.625	Cost reduced     at windowLength-dwindowLength.
143	171	4	1	2.264086659694397E10	1.5517631991845194E10	3.695381666595538E9	3.4278529385032406E9	9.698519994903246E9	3.359437878723216E9	1.0387433146979518E9	4.2	1.41875	20.625	Cost reduced     at windowWidth+dwindowWidth.
144	171	5	1	2.264086659694397E10	1.5517631991845194E10	3.695381666595538E9	3.4278529385032406E9	9.698519994903246E9	3.359437878723216E9	1.0387433146979518E9	4.2	1.41875	20.9375	Cost not reduced at beamS+dbeamS.
145	171	6	1	2.2687218604249756E10	1.5565521263217415E10	3.692902109965822E9	3.428795231066521E9	9.728450789510883E9	3.3571837363325653E9	1.0390288578989459E9	4.2	1.41875	20.3125	Cost not reduced at beamS-dbeamS.
143	171	7	1	2.264086659694397E10	1.5517631991845194E10	3.695381666595538E9	3.4278529385032406E9	9.698519994903246E9	3.359437878723216E9	1.0387433146979518E9	4.2	1.41875	20.625	Global search reduced cost.
146	172	1	1	2.263880942553223E10	1.5455837219760727E10	3.7632643952147155E9	3.4197078105567904E9	9.659898262350454E9	3.4211494501951957E9	1.0362750941081183E9	4.20625	1.43125	20.9375	Exploration base, Delta = 0.0625.
147	172	2	1	2.263800350104568E10	1.5464674046093204E10	3.753036083153747E9	3.4202933717987304E9	9.665421278808252E9	3.4118509846852245E9	1.0364525369087062E9	4.2	1.43125	20.9375	Cost reduced     at windowLength-dwindowLength.
