GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSPSOCCHJ algorithm
Start time: Sun Dec 23 18:16:30 GMT 2018

Main Iterations


Simulation Number	Main Iteration	Step Number	Es_tot	Es_heat	Es_cool	Es_light	Q_heat	Q_cool	E_lights	windowLength	windowWidth	beamS
99	136	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 9.
99	137	1	2.271297398311041E10	1.5377041713128212E10	3.87470557771454E9	3.461226692267657E9	9.610651070705132E9	3.522459616104127E9	1.0488565734144415E9	4.7	1.3	25.0	Generation 9.
99	138	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 9.
100	139	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Generation 9.
100	140	1	2.283166127549056E10	1.6136918084827E10	3.131798062164043E9	3.562945128499515E9	1.0085573803016874E10	2.847089147421857E9	1.0796803419695501E9	4.5	1.2	25.0	Generation 9.
100	141	1	2.2832908269482758E10	1.5452248714399208E10	3.820407571904925E9	3.5602519831786213E9	9.657655446499504E9	3.4730977926408405E9	1.078864237326855E9	5.5	1.1	35.0	Generation 9.
100	142	1	2.275472484468126E10	1.6062163249740509E10	3.182188506066965E9	3.510373088873789E9	1.0038852031087818E10	2.892898641879059E9	1.0637494208708452E9	4.2	1.3	30.0	Generation 9.
100	143	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 9.
101	144	1	2.3068801761961224E10	1.6389825811691935E10	2.9655961704763384E9	3.7133797797929482E9	1.0243641132307459E10	2.695996518614853E9	1.125266599937257E9	5.2	1.0	45.0	Generation 9.
102	145	1	2.273754618427054E10	1.52549018822537E10	4.030146853461478E9	3.452497448555357E9	9.534313676408562E9	3.6637698667831616E9	1.0462113480470779E9	4.8	1.3	25.0	Generation 10.
103	146	1	2.2652570603117996E10	1.5457522675341843E10	3.7650201943276057E9	3.4300277334485464E9	9.660951672088652E9	3.422745631206914E9	1.0394023434692565E9	4.3	1.4	25.0	Generation 10.
103	147	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 10.
104	148	1	2.269191849474882E10	1.5645602620556541E10	3.6057171973593497E9	3.4405986768329315E9	9.778501637847837E9	3.2779247248721356E9	1.042605659646343E9	4.2	1.4	20.0	Generation 10.
105	149	1	2.271297398311041E10	1.5377041713128212E10	3.87470557771454E9	3.461226692267657E9	9.610651070705132E9	3.522459616104127E9	1.0488565734144415E9	4.7	1.3	30.0	Generation 10.
105	150	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
103	151	1	2.2670989093835365E10	1.5897311120004402E10	3.313544672035768E9	3.460133301795198E9	9.93581945000275E9	3.0123133382143345E9	1.0485252429682418E9	4.0	1.4	20.0	Generation 10.
105	152	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
105	153	1	2.2696770476571598E10	1.5635460497907097E10	3.581584489817492E9	3.479725488847009E9	9.772162811191935E9	3.2559858998340836E9	1.0544622693475785E9	4.5	1.3	25.0	Generation 10.
106	154	1	2.2722678586127037E10	1.591378256147999E10	3.309277415126284E9	3.499618609520762E9	9.946114100924994E9	3.0084340137511673E9	1.0604904877335643E9	4.3	1.3	25.0	Generation 10.
106	155	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Generation 10.
106	156	1	2.2704032540135643E10	1.5771895467729134E10	3.4427749873452344E9	3.489362085061277E9	9.857434667330708E9	3.129795443041122E9	1.0573824500185688E9	4.4	1.3	25.0	Generation 10.
106	157	1	2.2771572001377327E10	1.5374578594824015E10	3.8930195530875063E9	3.5039738534658055E9	9.609111621765009E9	3.5391086846250052E9	1.0618102586260017E9	5.1	1.2	30.0	Generation 10.
107	158	1	2.2722678586127037E10	1.591378256147999E10	3.309277415126284E9	3.499618609520762E9	9.946114100924994E9	3.0084340137511673E9	1.0604904877335643E9	4.3	1.3	30.0	Generation 10.
107	159	1	2.2849420608619747E10	1.637473354447404E10	2.941183027588371E9	3.533504036557339E9	1.0234208465296274E10	2.673802752353064E9	1.0707587989567695E9	4.0	1.3	25.0	Generation 10.
108	160	1	2.2874601856952477E10	1.602897166901714E10	3.2354059940267577E9	3.6102241939085827E9	1.0018107293135712E10	2.9412781763879614E9	1.0940073314874494E9	5.0	1.1	40.0	Generation 10.
106	155	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Minimum point.
106	161	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Minimum point of initialization.
108	162	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Initial point.
108	163	1	2.2651529292655853E10	1.5744729616880629E10	3.457160151970285E9	3.449639523804938E9	9.840456010550392E9	3.1428728654275317E9	1.0453453102439207E9	4.1	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.5'.
112	164	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Global search reduced cost.
112	165	1	2.2647085409297672E10	1.5670415123865074E10	3.5321104195571003E9	3.444559865875499E9	9.79400945241567E9	3.2110094723246365E9	1.0438060199622724E9	4.15	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.25'.
119	166	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Global search reduced cost.
119	167	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.125'.
119	168	1	2.2646270614933968E10	1.5634073769773783E10	3.5701302786756425E9	3.442066566484543E9	9.771296106108614E9	3.24557298061422E9	1.0430504746922858E9	4.175	1.4	20.0	Iteration step did not reduce cost. Reduce step size to '0.0625'.
132	169	1	2.2646139150696354E10	1.5625214956145506E10	3.579475966493209E9	3.44144822805764E9	9.76575934759094E9	3.2540690604483714E9	1.0428630994114062E9	4.18125	1.4	20.0	Global search reduced cost.
139	170	1	2.2643506325330788E10	1.5579992037218687E10	3.6272688999322224E9	3.436245388179879E9	9.737495023261679E9	3.2975171817565656E9	1.0412864812666302E9	4.19375	1.40625	20.3125	Global search reduced cost.
143	171	1	2.264086659694397E10	1.5517631991845194E10	3.695381666595538E9	3.4278529385032406E9	9.698519994903246E9	3.359437878723216E9	1.0387433146979518E9	4.2	1.41875	20.625	Global search reduced cost.
148	172	1	2.2637453021825947E10	1.5437842420441628E10	3.783027253499636E9	3.4165833478846817E9	9.648651512776016E9	3.439115684999669E9	1.0353282872377824E9	4.2	1.4375	20.9375	Global search reduced cost.
154	173	1	2.263692025671531E10	1.5394479798370842E10	3.832560107506263E9	3.4098803508382044E9	9.621549873981775E9	3.4841455522784204E9	1.0332970760115771E9	4.19375	1.45	21.25	Global search reduced cost.
159	174	1	2.2635025010513424E10	1.5386374365553104E10	3.841187447935625E9	3.4074631970246925E9	9.61648397847069E9	3.4919885890323863E9	1.0325646051589978E9	4.18125	1.45625	21.5625	Global search reduced cost.
164	175	1	2.263181480188764E10	1.54129678941834E10	3.8096541039566803E9	3.4091928037475615E9	9.633104933864624E9	3.463321912687891E9	1.033088728408352E9	4.1625	1.45625	21.875	Global search reduced cost.
170	176	1	2.262824054920742E10	1.5422919177419016E10	3.797350010334417E9	3.4079713614539866E9	9.639324485886885E9	3.4521363730312877E9	1.0327185943799961E9	4.1375	1.4625	22.1875	Global search reduced cost.
175	177	1	2.2623298920058712E10	1.5416685166260874E10	3.802721118877789E9	3.4038926349200463E9	9.635428228913046E9	3.457019198979808E9	1.0314826166424383E9	4.10625	1.475	22.5	Global search reduced cost.
179	178	1	2.2618086184560104E10	1.5420250619110905E10	3.797302191681786E9	3.4005333737674127E9	9.637656636944315E9	3.4520929015288963E9	1.0304646587173978E9	4.06875	1.4875	22.8125	Global search reduced cost.
186	179	1	2.261295740595876E10	1.5408797234000519E10	3.8083386452507834E9	3.3958215267074575E9	9.630498271250324E9	3.4621260411370754E9	1.0290368262749872E9	4.025	1.50625	23.125	Global search reduced cost.
191	180	1	2.260459370877509E10	1.5383475235096169E10	3.8350833060281916E9	3.3860351676507287E9	9.614672021935104E9	3.4864393691165376E9	1.0260712629244633E9	3.975	1.53125	23.4375	Global search reduced cost.
195	181	1	2.2595073695990913E10	1.5370615894976257E10	3.8470620500495467E9	3.377395750965111E9	9.60663493436016E9	3.4973291364086785E9	1.0234532578682154E9	3.91875	1.55625	23.75	Global search reduced cost.
201	182	1	2.258453390035139E10	1.5369937809711317E10	3.8447625340873704E9	3.3698335565527043E9	9.606211131069572E9	3.4952386673521547E9	1.0211616838038498E9	3.85625	1.58125	24.0625	Global search reduced cost.
209	183	1	2.2572577443121307E10	1.5405696877092014E10	3.800332096527774E9	3.3665484695015197E9	9.628560548182508E9	3.454847360479794E9	1.0201662028792484E9	3.7875	1.6	24.375	Global search reduced cost.
215	184	1	2.2559545967035816E10	1.5431370815632511E10	3.767443556179455E9	3.360731595223849E9	9.644606759770319E9	3.424948687435868E9	1.0184035137041967E9	3.7125	1.625	24.6875	Global search reduced cost.
220	185	1	2.254551549994383E10	1.5447495060504353E10	3.7448391849065657E9	3.3531812545329094E9	9.65468441281522E9	3.4043992590059686E9	1.0161155316766393E9	3.63125	1.65625	25.0	Global search reduced cost.
225	186	1	2.253107295890583E10	1.5457338478870567E10	3.7296221135514607E9	3.344112366483803E9	9.660836549294104E9	3.390565557774055E9	1.0133673837829707E9	3.54375	1.69375	25.3125	Global search reduced cost.
230	187	1	2.2515208967910423E10	1.5462479995524178E10	3.7188833379922113E9	3.3338456343940353E9	9.66404999720261E9	3.3808030345383735E9	1.0102562528466774E9	3.45	1.7375	25.625	Global search reduced cost.
235	188	1	2.24979420002257E10	1.546574701229051E10	3.709386444039167E9	3.322808543896024E9	9.666091882681568E9	3.3721694945810604E9	1.0069116799684923E9	3.35	1.7875	25.9375	Global search reduced cost.
240	189	1	2.2479875321011257E10	1.5469823441318815E10	3.6985183482040224E9	3.31153353148842E9	9.668639650824259E9	3.362289407458202E9	1.0034950095419455E9	3.24375	1.84375	26.25	Global search reduced cost.
244	190	1	2.2461385216479057E10	1.549788656689015E10	3.6608189110056567E9	3.302679738583251E9	9.686179104306343E9	3.328017191823324E9	1.0008120419949247E9	3.13125	1.9	26.5625	Global search reduced cost.
249	191	1	2.2444274360763863E10	1.553918862415573E10	3.609674352209619E9	3.2954113843985143E9	9.71199289009733E9	3.2815221383723807E9	9.986095104237922E8	3.01875	1.95625	26.875	Global search reduced cost.
256	192	1	2.2429999988668705E10	1.559521816201918E10	3.5453239859165225E9	3.289457840733001E9	9.747011351261988E9	3.2230218053786564E9	9.968054062827277E8	2.90625	2.0125	27.1875	Global search reduced cost.
265	193	1	2.2419762056686306E10	1.5651654387605469E10	3.4833435610686054E9	3.284764108012233E9	9.782283992253418E9	3.166675964607823E9	9.953830630340099E8	2.8	2.06875	27.5	Global search reduced cost.
275	194	1	2.2418962117855705E10	1.5637758826988874E10	3.4971911505184126E9	3.2840121403484197E9	9.773599266868046E9	3.179264682289466E9	9.951551940449758E8	2.80625	2.06875	27.5	Local search reduced cost.
280	195	1	2.241831269554701E10	1.562394596564743E10	3.511103496185647E9	3.2832632337139335E9	9.764966228529644E9	3.191912269259679E9	9.949282526405859E8	2.8125	2.06875	27.5	Global search reduced cost.
280	196	1	2.241831269554701E10	1.562394596564743E10	3.511103496185647E9	3.2832632337139335E9	9.764966228529644E9	3.191912269259679E9	9.949282526405859E8	2.8125	2.06875	27.5	Iteration step did not reduce cost. Maximum number of step reductions reached.
280	196	1	2.241831269554701E10	1.562394596564743E10	3.511103496185647E9	3.2832632337139335E9	9.764966228529644E9	3.191912269259679E9	9.949282526405859E8	2.8125	2.06875	27.5	Minimum point.
